"","cps19_ResponseId","ethnicity","own_residence","cps19_income_cat","cps19_education","cps19_bornin_canada","education","language","votechoice","age_bracket","province"
"105","R_3HODsh8jSKq48o3","Canadian",0,2,6,1,"College/Trades","French",2,"55-64","Quebec"
"106","R_2YArCky0wxjsLDz","Canadian",0,8,11,1,"Postgrad","English_and_French",1,"55-64","Quebec"
"107","R_1eqsvQYbC4GNu1X","Canadian",1,5,10,1,"Postgrad","English",2,"75+","Ontario"
"108","R_1DHZv7u7shBLWkl","Chinese",1,4,8,2,"Bachelors","Neither",2,"55-64","Ontario"
"109","R_33gvgYCjwl6J5GD","English",1,3,4,1,"No degree/ diploma","English",2,"75+","Ontario"
"110","R_WlEDJBS7v82Q3HH","Canadian",1,4,9,1,"Bachelors","English",2,"35-44","Ontario"
"111","R_2TF48XAO0EVuGOd","English",1,6,6,1,"College/Trades","English",5,"45-54","Nova Scoita"
"112","R_W2TYH2Hul9PD7BT","Canadian",0,3,9,2,"Bachelors","English",1,"45-54","Ontario"
"113","R_26mX2zgMSeJ6xgw","Canadian",1,3,8,1,"Bachelors","English",2,"75+","Ontario"
"114","R_3jUM5oIRKSjOy5l","Scottish",1,7,8,2,"Bachelors","English",1,"65-74","Ontario"
"115","R_2Pb6eqBCY7Yxlhm","English",1,5,9,1,"Bachelors","English",1,"45-54","Ontario"
"116","R_2vkVOM1UlceC92T","Canadian",1,4,5,1,"High school","English_and_French",3,"65-74","Ontario"
"117","R_bfiFI3DeSxh6pMt","Canadian",1,3,9,1,"Bachelors","English",1,"25-34","Ontario"
"118","R_3fpKpxwZePSyXjZ","English",1,3,9,1,"Bachelors","English",1,"35-44","Ontario"
"119","R_pEsAKhc10qqPUlz","Indian",1,4,9,2,"Bachelors","English",2,"55-64","Ontario"
"120","R_3MzICHejpHRvkiK","French",1,3,9,1,"Bachelors","English_and_French",5,"45-54","Ontario"
"121","R_3IQcbpgsK9t6tXT","Canadian",1,3,9,1,"Bachelors","French",1,"55-64","Quebec"
"122","R_1o4H1fubSe7FlNW","Canadian",0,3,5,1,"High school","English",1,"18-24","Ontario"
"123","R_1dzT4ZdNKmTUYHe","Canadian",1,3,9,1,"Bachelors","English_and_French",1,"25-34","Ontario"
"124","R_2V3zi3XOYyREMwN","Canadian",1,4,6,1,"College/Trades","French",2,"55-64","Quebec"
"125","R_1mWA5VJSMVBcpJ4","Scottish",0,2,9,1,"Bachelors","English",5,"55-64","New Brunswick"
"126","R_3gZWpB6WxlOUWsA","Canadian",1,3,6,1,"College/Trades","French",4,"65-74","Quebec"
"127","R_qI0m78Q3aHVjydr","Scottish",1,3,7,1,"College/Trades","English",1,"65-74","Ontario"
"128","R_1eFWvRT4hNbVVV1","Canadian",1,5,7,2,"College/Trades","English",1,"55-64","Ontario"
"129","R_2SqMRPLb1dCHXbu","Canadian",1,9,9,1,"Bachelors","English",3,"35-44","Ontario"
"130","R_wOkztv6sfJLKiel","Scottish",0,3,7,1,"College/Trades","English",3,"55-64","Nova Scoita"
"131","R_30qv36aXWZuK9M6","Canadian",1,4,7,1,"College/Trades","English_and_French",1,"65-74","Ontario"
"132","R_2uEcYSjXuKiUR45","English",1,8,6,1,"College/Trades","English",3,"35-44","Ontario"
"133","R_3j0Vve5aDo2cwSz","English",0,2,5,1,"High school","English",3,"55-64","Ontario"
"134","R_x6qMwhSZclNIdaN","French",1,2,3,1,"No degree/ diploma","French",1,"35-44","Quebec"
"135","R_1pRuOG0YodOvLGh","Canadian",1,4,5,1,"High school","English",1,"35-44","Ontario"
