"","Riding","Sex","Ethnic Origins","n","freq"
"176","Kings--Hants","Male","German",5040,0.0814150714804943
"177","Kings--Hants","Male","Chinese",170,0.00274614328406429
"178","Kings--Hants","Male","Italian",460,0.0074307406509975
"179","Kings--Hants","Male","First_Nations",2160,0.0348921734916404
"180","Kings--Hants","Male","South_Asian",35,0.000565382440836766
"181","Sackville--Preston--Chezzetcook","Male","Canadian",18985,0.270788760519184
"182","Sackville--Preston--Chezzetcook","Male","English",13660,0.194836685208957
"183","Sackville--Preston--Chezzetcook","Male","Scottish",12330,0.17586649550706
"184","Sackville--Preston--Chezzetcook","Male","French",7555,0.107759235487092
"185","Sackville--Preston--Chezzetcook","Male","Irish",9595,0.136856368563686
"186","Sackville--Preston--Chezzetcook","Male","German",4910,0.0700328055912138
"187","Sackville--Preston--Chezzetcook","Male","Chinese",120,0.00171159606332905
"188","Sackville--Preston--Chezzetcook","Male","Italian",660,0.0094137783483098
"189","Sackville--Preston--Chezzetcook","Male","First_Nations",2185,0.0311653116531165
"190","Sackville--Preston--Chezzetcook","Male","South_Asian",110,0.00156896305805163
"191","South Shore--St. Margarets","Male","Canadian",21445,0.312063445867288
"192","South Shore--St. Margarets","Male","English",12145,0.176731664726426
"193","South Shore--St. Margarets","Male","Scottish",9160,0.133294528521537
"194","South Shore--St. Margarets","Male","French",5560,0.0809080325960419
"195","South Shore--St. Margarets","Male","Irish",7085,0.103099534342258
"196","South Shore--St. Margarets","Male","German",10410,0.151484284051222
"197","South Shore--St. Margarets","Male","Chinese",135,0.00196449359720605
"198","South Shore--St. Margarets","Male","Italian",420,0.00611175785797439
"199","South Shore--St. Margarets","Male","First_Nations",2240,0.0325960419091967
"200","South Shore--St. Margarets","Male","South_Asian",120,0.00174621653084983
"201","Sydney--Victoria","Male","Canadian",13045,0.247768281101614
"202","Sydney--Victoria","Male","English",7435,0.141215574548908
"203","Sydney--Victoria","Male","Scottish",13175,0.250237416904084
"204","Sydney--Victoria","Male","French",5285,0.100379867046534
"205","Sydney--Victoria","Male","Irish",7660,0.145489078822412
"206","Sydney--Victoria","Male","German",1015,0.0192782526115859
"207","Sydney--Victoria","Male","Chinese",210,0.00398860398860399
"208","Sydney--Victoria","Male","Italian",1145,0.0217473884140551
"209","Sydney--Victoria","Male","First_Nations",3575,0.0679012345679012
"210","Sydney--Victoria","Male","South_Asian",105,0.00199430199430199
"211","West Nova","Male","Canadian",19855,0.337957446808511
"212","West Nova","Male","English",11165,0.190042553191489
"213","West Nova","Male","Scottish",6830,0.116255319148936
"214","West Nova","Male","French",8765,0.149191489361702
"215","West Nova","Male","Irish",5705,0.0971063829787234
"216","West Nova","Male","German",3765,0.0640851063829787
"217","West Nova","Male","Chinese",65,0.0011063829787234
"218","West Nova","Male","Italian",370,0.00629787234042553
"219","West Nova","Male","First_Nations",2140,0.0364255319148936
"220","West Nova","Male","South_Asian",90,0.00153191489361702
"221","Acadie--Bathurst","Male","Canadian",28040,0.604831751509922
"222","Acadie--Bathurst","Male","English",1890,0.0407679033649698
"223","Acadie--Bathurst","Male","Scottish",1595,0.034404659188956
"224","Acadie--Bathurst","Male","French",9230,0.19909404659189
"225","Acadie--Bathurst","Male","Irish",3020,0.0651423641069888
"226","Acadie--Bathurst","Male","German",395,0.00852027610008628
"227","Acadie--Bathurst","Male","Chinese",40,0.000862812769628991
"228","Acadie--Bathurst","Male","Italian",260,0.00560828300258844
"229","Acadie--Bathurst","Male","First_Nations",1870,0.0403364969801553
"230","Acadie--Bathurst","Male","South_Asian",20,0.000431406384814495
"231","Beauséjour","Male","Canadian",25930,0.467628494138864
"232","Beauséjour","Male","English",5350,0.0964833183047791
"233","Beauséjour","Male","Scottish",3745,0.0675383228133454
"234","Beauséjour","Male","French",12600,0.227231740306582
"235","Beauséjour","Male","Irish",4350,0.0784490532010821
"236","Beauséjour","Male","German",1370,0.0247069431920649
"237","Beauséjour","Male","Chinese",135,0.0024346257889991
"238","Beauséjour","Male","Italian",280,0.00504959422903517
"239","Beauséjour","Male","First_Nations",1630,0.0293958521190262
"240","Beauséjour","Male","South_Asian",60,0.00108205590622182
"241","Fredericton","Male","Canadian",16760,0.264750019745676
"242","Fredericton","Male","English",12165,0.192164915883422
"243","Fredericton","Male","Scottish",10340,0.163336229365769
"244","Fredericton","Male","French",7110,0.112313403364663
"245","Fredericton","Male","Irish",10125,0.159939973145881
"246","Fredericton","Male","German",2755,0.0435194692362373
"247","Fredericton","Male","Chinese",695,0.0109785956875444
"248","Fredericton","Male","Italian",650,0.0102677513624516
"249","Fredericton","Male","First_Nations",2185,0.0345154411183951
"250","Fredericton","Male","South_Asian",520,0.0082142010899613
"251","Fundy Royal","Male","Canadian",19345,0.300155159038014
"252","Fundy Royal","Male","English",13345,0.207059736229635
"253","Fundy Royal","Male","Scottish",9975,0.154771140418929
"254","Fundy Royal","Male","French",6505,0.100930954228084
"255","Fundy Royal","Male","Irish",10300,0.159813809154383
"256","Fundy Royal","Male","German",3250,0.0504266873545384
"257","Fundy Royal","Male","Chinese",95,0.00147401086113266
"258","Fundy Royal","Male","Italian",450,0.00698215671062839
"259","Fundy Royal","Male","First_Nations",1100,0.0170674941815361
"260","Fundy Royal","Male","South_Asian",85,0.0013188518231187
"261","Madawaska--Restigouche","Male","Canadian",21730,0.595179402903314
"262","Madawaska--Restigouche","Male","English",1865,0.0510818953711312
"263","Madawaska--Restigouche","Male","Scottish",1445,0.03957819775404
"264","Madawaska--Restigouche","Male","French",7705,0.211038071761161
"265","Madawaska--Restigouche","Male","Irish",1895,0.0519035880580663
"266","Madawaska--Restigouche","Male","German",235,0.00643659271432484
"267","Madawaska--Restigouche","Male","Chinese",35,0.000958641468090934
"268","Madawaska--Restigouche","Male","Italian",240,0.00657354149548069
"269","Madawaska--Restigouche","Male","First_Nations",1310,0.0358805806628321
"270","Madawaska--Restigouche","Male","South_Asian",50,0.00136948781155848
"271","Miramichi--Grand Lake","Male","Canadian",14160,0.331073182137012
"272","Miramichi--Grand Lake","Male","English",5725,0.133855506195932
"273","Miramichi--Grand Lake","Male","Scottish",5860,0.137011924245967
"274","Miramichi--Grand Lake","Male","French",6240,0.145896656534954
"275","Miramichi--Grand Lake","Male","Irish",6650,0.155482815057283
"276","Miramichi--Grand Lake","Male","German",805,0.0188216039279869
"277","Miramichi--Grand Lake","Male","Chinese",40,0.000935234977788169
"278","Miramichi--Grand Lake","Male","Italian",180,0.00420855740004676
"279","Miramichi--Grand Lake","Male","First_Nations",3075,0.0718961889174655
"280","Miramichi--Grand Lake","Male","South_Asian",35,0.000818330605564648
"281","Moncton--Riverview--Dieppe","Male","Canadian",21545,0.333281769665094
"282","Moncton--Riverview--Dieppe","Male","English",9755,0.150901075102483
"283","Moncton--Riverview--Dieppe","Male","Scottish",7860,0.121587129708407
"284","Moncton--Riverview--Dieppe","Male","French",12210,0.18887771676077
"285","Moncton--Riverview--Dieppe","Male","Irish",8180,0.126537241859386
"286","Moncton--Riverview--Dieppe","Male","German",2510,0.038827442184237
"287","Moncton--Riverview--Dieppe","Male","Chinese",310,0.00479542114626035
"288","Moncton--Riverview--Dieppe","Male","Italian",570,0.00881738726893031
"289","Moncton--Riverview--Dieppe","Male","First_Nations",1485,0.0229716142006342
"290","Moncton--Riverview--Dieppe","Male","South_Asian",220,0.00340320210379766
"291","New Brunswick Southwest","Male","Canadian",16610,0.330350039777247
"292","New Brunswick Southwest","Male","English",10075,0.200377883850438
"293","New Brunswick Southwest","Male","Scottish",7765,0.154435163086714
"294","New Brunswick Southwest","Male","French",4575,0.0909904534606205
"295","New Brunswick Southwest","Male","Irish",7635,0.151849642004773
"296","New Brunswick Southwest","Male","German",1790,0.0356006364359586
"297","New Brunswick Southwest","Male","Chinese",40,0.000795544948289578
"298","New Brunswick Southwest","Male","Italian",255,0.00507159904534606
"299","New Brunswick Southwest","Male","First_Nations",1505,0.0299323786793954
"300","New Brunswick Southwest","Male","South_Asian",30,0.000596658711217184
"301","Saint John--Rothesay","Male","Canadian",16465,0.275265401655103
"302","Saint John--Rothesay","Male","English",11350,0.189751734514754
"303","Saint John--Rothesay","Male","Scottish",8955,0.149711610799967
"304","Saint John--Rothesay","Male","French",7510,0.125553790855137
"305","Saint John--Rothesay","Male","Irish",10900,0.182228537992142
"306","Saint John--Rothesay","Male","German",1830,0.0305943325252863
"307","Saint John--Rothesay","Male","Chinese",540,0.00902783582713366
"308","Saint John--Rothesay","Male","Italian",440,0.00735601437766447
"309","Saint John--Rothesay","Male","First_Nations",1530,0.0255788681768787
"310","Saint John--Rothesay","Male","South_Asian",295,0.00493187327593413
"311","Tobique--Mactaquac","Male","Canadian",18440,0.366127270922267
"312","Tobique--Mactaquac","Male","English",9265,0.183957113074556
"313","Tobique--Mactaquac","Male","Scottish",6865,0.136304973692048
"314","Tobique--Mactaquac","Male","French",5410,0.107415864191403
"315","Tobique--Mactaquac","Male","Irish",6470,0.12846222575201
"316","Tobique--Mactaquac","Male","German",1635,0.0324630199543334
"317","Tobique--Mactaquac","Male","Chinese",45,0.000893477613422019
"318","Tobique--Mactaquac","Male","Italian",300,0.00595651742281346
"319","Tobique--Mactaquac","Male","First_Nations",1870,0.0371289586022039
"320","Tobique--Mactaquac","Male","South_Asian",65,0.00129057877494292
"321","Abitibi--Baie-James--Nunavik--Eeyou","Male","Canadian",22110,0.494464944649447
"322","Abitibi--Baie-James--Nunavik--Eeyou","Male","English",590,0.0131946774013195
"323","Abitibi--Baie-James--Nunavik--Eeyou","Male","Scottish",1620,0.0362294532036229
"324","Abitibi--Baie-James--Nunavik--Eeyou","Male","French",7160,0.160125237616013
"325","Abitibi--Baie-James--Nunavik--Eeyou","Male","Irish",1430,0.031980319803198
"326","Abitibi--Baie-James--Nunavik--Eeyou","Male","German",510,0.0114055686011406
"327","Abitibi--Baie-James--Nunavik--Eeyou","Male","Chinese",25,0.00055909650005591
"328","Abitibi--Baie-James--Nunavik--Eeyou","Male","Italian",305,0.0068209773006821
"329","Abitibi--Baie-James--Nunavik--Eeyou","Male","First_Nations",10945,0.244772447724477
"330","Abitibi--Baie-James--Nunavik--Eeyou","Male","South_Asian",20,0.000447277200044728
"331","Abitibi--Témiscamingue","Male","Canadian",39245,0.652560691719322
"332","Abitibi--Témiscamingue","Male","English",745,0.0123877618889258
"333","Abitibi--Témiscamingue","Male","Scottish",920,0.0152976388427004
"334","Abitibi--Témiscamingue","Male","French",12655,0.210425673428666
"335","Abitibi--Témiscamingue","Male","Irish",2165,0.0359993348852677
"336","Abitibi--Témiscamingue","Male","German",645,0.0107249750581975
"337","Abitibi--Témiscamingue","Male","Chinese",45,0.000748254073827735
"338","Abitibi--Témiscamingue","Male","Italian",450,0.00748254073827735
"339","Abitibi--Témiscamingue","Male","First_Nations",3260,0.0542068506817426
"340","Abitibi--Témiscamingue","Male","South_Asian",10,0.00016627868307283
"341","Ahuntsic-Cartierville","Male","Canadian",14115,0.394439010758698
"342","Ahuntsic-Cartierville","Male","English",840,0.0234735224255973
"343","Ahuntsic-Cartierville","Male","Scottish",740,0.0206790554701691
"344","Ahuntsic-Cartierville","Male","French",9800,0.273857761631969
"345","Ahuntsic-Cartierville","Male","Irish",1765,0.0493223417633087
"346","Ahuntsic-Cartierville","Male","German",665,0.0185832052535979
"347","Ahuntsic-Cartierville","Male","Chinese",1070,0.0299007964230823
"348","Ahuntsic-Cartierville","Male","Italian",3820,0.106748637697359
"349","Ahuntsic-Cartierville","Male","First_Nations",805,0.0224954589911974
"350","Ahuntsic-Cartierville","Male","South_Asian",2165,0.0605002095850217
"351","Alfred-Pellan","Male","Canadian",18230,0.44752669694366
"352","Alfred-Pellan","Male","English",640,0.0157113047747637
"353","Alfred-Pellan","Male","Scottish",485,0.0119062231496256
"354","Alfred-Pellan","Male","French",8350,0.204983429483245
"355","Alfred-Pellan","Male","Irish",1565,0.0384190499570394
"356","Alfred-Pellan","Male","German",500,0.0122744568552842
"357","Alfred-Pellan","Male","Chinese",215,0.00527801644777219
"358","Alfred-Pellan","Male","Italian",9655,0.237019761875537
"359","Alfred-Pellan","Male","First_Nations",850,0.0208665766539831
"360","Alfred-Pellan","Male","South_Asian",245,0.00601448385908924
"361","Argenteuil--La Petite-Nation","Male","Canadian",33550,0.568499534016775
"362","Argenteuil--La Petite-Nation","Male","English",2180,0.0369397610776921
"363","Argenteuil--La Petite-Nation","Male","Scottish",2130,0.0360925188511395
"364","Argenteuil--La Petite-Nation","Male","French",12420,0.210454969075659
"365","Argenteuil--La Petite-Nation","Male","Irish",4075,0.0690502414640346
"366","Argenteuil--La Petite-Nation","Male","German",1170,0.0198254681013302
"367","Argenteuil--La Petite-Nation","Male","Chinese",45,0.000762518003897314
"368","Argenteuil--La Petite-Nation","Male","Italian",745,0.0126239091756333
"369","Argenteuil--La Petite-Nation","Male","First_Nations",2680,0.0454121833432178
"370","Argenteuil--La Petite-Nation","Male","South_Asian",20,0.000338896890621029
"371","Avignon--La Mitis--Matane--Matapédia","Male","Canadian",26470,0.669533324901986
"372","Avignon--La Mitis--Matane--Matapédia","Male","English",455,0.0115087896800304
"373","Avignon--La Mitis--Matane--Matapédia","Male","Scottish",635,0.0160617174655369
"374","Avignon--La Mitis--Matane--Matapédia","Male","French",8640,0.218540533704313
"375","Avignon--La Mitis--Matane--Matapédia","Male","Irish",1175,0.0297205008220564
"376","Avignon--La Mitis--Matane--Matapédia","Male","German",280,0.00708233211078791
"377","Avignon--La Mitis--Matane--Matapédia","Male","Chinese",20,0.000505880865056279
"378","Avignon--La Mitis--Matane--Matapédia","Male","Italian",155,0.00392057670418616
"379","Avignon--La Mitis--Matane--Matapédia","Male","First_Nations",1705,0.0431263437460478
"380","Avignon--La Mitis--Matane--Matapédia","Male","South_Asian",0,0
