"cps19_ResponseId","pes19_lang","Language"
"R_1och7x7fegFpWj6",68,"English"
"R_a60x0hoggiS4gWl",68,"English"
"R_3kArWwMNFAXEsby",68,"English"
"R_1zCykVZK1ZvnvRT",68,"English"
"R_SCsrDc2LYCp7a0x",68,"English"
"R_3nCpP1FsBeNy9st",68,"English"
"R_3LbQG9MLDkrPLSY",68,"English"
"R_3g6hZrkfDarDMN8",68,"English"
"R_1NE99v0gzf9RiAs",68,"English"
"R_3h9KNLScJyWR8aT",68,"English"
"R_9KYbm6slSlIf86B",72,"Other"
"R_2cvz4rvQ18WJMcM",68,"English"
"R_4ZolDXJblwk18Gt",68,"English"
"R_u3qCZgTG8W6kcjn",68,"English"
"R_2RQjFesjoVSziYG",68,"English"
"R_3oBXBHv114ZjfbY",68,"English"
"R_3DqhsHaDCkpWvyS",85,"Other"
"R_3fvhdB3BvRwBhoe",68,"English"
"R_3KuU4uIwYunVQRB",68,"English"
"R_RkKOpK5PAG8BXEJ",68,"English"
"R_1FQeVmZ5GIbngdn",68,"English"
"R_2YokIlNo0qsQ3nI",68,"English"
"R_3NWbLkWY37Ns46v",69,"French"
"R_9oa2jOWH7phNBxD",68,"English"
"R_1dbQv3zDOBz7kC8",68,"English"
"R_2rTSfW6AySIXsCk",68,"English"
"R_2xKJDBk9kjon2Yh",68,"English"
"R_3oObV1o4D4KkZ2C",68,"English"
"R_4UfoJOp8TU3odZT",81,"Other"
"R_2QlgWkkj0PC5tAu",68,"English"
"R_1KxOsZqtkm4ewvg",68,"English"
"R_6QigZS40AMj6d0J",68,"English"
"R_3D5783UOgQkeofe",68,"English"
"R_1lv4LmxqLNBMJci",68,"English"
"R_2So6qPF2dcmgxcy",68,"English"
"R_27rsFrEE7sEp6Ib",68,"English"
"R_1lAUvfAalZe0UNq",68,"English"
"R_W2NX5lLmE6nTxER",68,"English"
"R_30jlvP8jvEe43xR",68,"English"
"R_qEf5E4xMXJnX7mV",68,"English"
"R_3PMs1rondmWf4la",68,"English"
"R_pz68BgLeqOAd4hr",68,"English"
"R_20OoibZmf5POhrJ",68,"English"
"R_1LhFkvVLUhm4iVC",69,"French"
"R_1joZ13lu6xwTDmH",68,"English"
"R_2ceCsg8AH35Sfsq",68,"English"
"R_2zGVnmG0XC2y0Is",84,"Other"
"R_2PqbOi7GFeYfYCO",68,"English"
"R_xuywatjnSOYkZmV",68,"English"
"R_3HOMkqA6znepRRF",68,"English"
"R_2aepmXNftTSOwUA",68,"English"
"R_WDUTQm00GIgl2ZX",68,"English"
"R_1ocKnIbgeClgyM3",69,"French"
"R_3hnEd5ZECYHdPg1",68,"English"
"R_1rBPS4chD5tz36B",68,"English"
"R_2Qln5yz3eR11JiG",68,"English"
"R_BA1fRkjG4mUbqHD",68,"English"
"R_3QMANSjf8JIHFJH",68,"English"
"R_9v6HsehOJsSSaw9",68,"English"
"R_AzWLJyinu8uWE6Z",68,"English"
"R_wO8clwcbZMpEMzn",68,"English"
"R_3pqXOkWC1bzGMbK",69,"French"
"R_3qZDDlOpjlrc2bO",68,"English"
"R_2QrNo1CqFE3lSzc",68,"English"
"R_088gggrN3IyEmPf",68,"English"
"R_2dFHfqUgjf8GVtj",68,"English"
"R_1FD7Kvqv3v7mCM8",68,"English"
"R_Y6mJ7YiuiDnjIOt",68,"English"
"R_28NHuFfrQahsnUc",68,"English"
"R_1Xtf9WfOoiJNtg5",69,"French"
"R_32MkmFc2DoJHWgu",68,"English"
"R_VOmGtRkj9WXNdmN",68,"English"
"R_1jBq6IsErrzY8M1",68,"English"
"R_1pKk7EJLFRNoUcV",72,"Other"
"R_2CIiF2CqScMm5pn",68,"English"
"R_3Hwas0nVP1g3GOF",68,"English"
"R_8vI2CaEy9ibZJAJ",68,"English"
"R_3KUYFnTcSdqdfkQ",73,"Other"
"R_41MCLzN4H3FPFyF",68,"English"
"R_3ha5DFqLK1ZPxxg",68,"English"
"R_tDsfpkipns6ERYB",68,"English"
"R_3sadeo7jKlLi1HG",68,"English"
"R_3kyUOONKFt4ZoXW",69,"French"
"R_3QDi16LXsi20OwS",68,"English"
"R_3qgnG34nh88Np8P",68,"English"
"R_2y4ouatVUXpCwbO",68,"English"
"R_3MR3VdNAOSugtJM",68,"English"
"R_3sdhjcFXMHqcIx8",68,"English"
"R_3nIt2wKMjxLyb2f",68,"English"
"R_9YasfPvGNwIgXRv",68,"English"
"R_2YuiS71iebkmDDC",68,"English"
"R_3JrxI3dWXBLhFB4",68,"English"
"R_38z7ANgQzVs1saJ",68,"English"
"R_2720Xe0pWGNvglh",68,"English"
"R_2WvUY8it1LsaP5D",68,"English"
"R_1fkmKB3GjK3RbC4",68,"English"
"R_1mFxjra9tYhGGcX",68,"English"
"R_1pMDcgVLU68xEm2",68,"English"
"R_1EWjyYZ2Lti2msF",68,"English"
"R_2CKwMSXnWowRK51",68,"English"
"R_1Ks7V6DXpSq0xW7",68,"English"
"R_2dstd11QNmGQtSL",68,"English"
"R_3nwrJkNJBAo6R84",68,"English"
"R_3fZtvnS9BPCF4ft",68,"English"
"R_5Bz5TKLvIKCPBdv",68,"English"
"R_1hG8ZgHFihDrsQq",68,"English"
"R_2zjeT8oIhvbBn17",68,"English"
"R_20S5SwwOoU8feTV",68,"English"
"R_1LqfUzOksoaLROL",68,"English"
"R_dasA7cwcm42CetP",68,"English"
"R_3fBGNcd1PY8lF8Y",68,"English"
"R_1HhoetYqBpqzEYB",68,"English"
"R_2DUYgjVsYU7ymLt",68,"English"
"R_puVlnpB3VkLCKUp",68,"English"
"R_2TYnQoJHbCKA5DL",68,"English"
"R_2roqL6LOsxOwa5a",68,"English"
"R_3e48mGCLpuxChUE",68,"English"
"R_3PIyngFcbE4a3nj",68,"English"
"R_V2n1p4dQ1iLsIUh",68,"English"
"R_RmI26gKQHeiFI3v",68,"English"
"R_1eS41jUMTFkPNsN",68,"English"
"R_2zVoTyYdabMvO4p",68,"English"
"R_2uBRVWOP2Ko9ZE2",68,"English"
"R_2Cyyv9xGQAEsHwT",68,"English"
"R_1IGcJMi5wCOKh5z",68,"English"
"R_1cULf09QUkHmeaa",68,"English"
"R_125tGWClwhpNLpC",68,"English"
"R_2Bsw3DXvssJbtFa",68,"English"
"R_2B2oVjtQ3W2lo2N",71,"Other"
"R_2Qngr9pAwKgnPK9",84,"Other"
"R_1DIvSHFIwTrlHnY",68,"English"
"R_294FrdaAkM8tgui",68,"English"
"R_1DXOjI8XdFWf5k7",68,"English"
"R_3Od1sAh7nLxLsT1",68,"English"
"R_3M4mSM6Dizzvlkq",68,"English"
"R_DiXzCNkjb1v42GZ",68,"English"
"R_6huQVAzr1jAjuk9",68,"English"
"R_wLdflhzx9CGfT9L",68,"English"
"R_2PCqf6vxkktiLbS",68,"English"
"R_2e43xqAV8ABo3eK",68,"English"
"R_1rMua3SvJIrsDsu",68,"English"
"R_2SDNBrdTHOdDrOD",68,"English"
"R_O9kYYAjhWrWgZQl",68,"English"
"R_3s0OSiv5MtGZyWj",68,"English"
"R_3e8JIdqd1ppBLBy",68,"English"
"R_2zpPfVIr6y2Wq01",68,"English"
"R_1jCh5PseUOnfDFm",68,"English"
"R_1kZhzjWXCXSs3gH",68,"English"
"R_32RqIQVSE48k4XG",68,"English"
"R_sIhjqr4mYVrevEl",68,"English"
"R_ALDDFUtb86mdRQZ",68,"English"
"R_2E5X49f2ZqORiHl",68,"English"
"R_YRcR1Qiva6iRKNj",68,"English"
"R_3IWankEgvEhLj7P",68,"English"
"R_ROKMEVzdnPL9RoR",72,"Other"
"R_1dMKdGUaLnJUNYR",68,"English"
"R_W1Z2Idtb2564x0Z",68,"English"
"R_2Wx06Wa2NYvBt4O",68,"English"
"R_2aITz31nnNsbPui",68,"English"
"R_yIaPxx4cVZQVrAB",68,"English"
"R_1f1myUf7AqpiFfc",68,"English"
"R_2bTvGtiIjRzna7n",84,"Other"
"R_1DSi9JoxoyT7ZbN",68,"English"
"R_2wjeLzh8yaKbQbu",68,"English"
"R_2Brg7fAp3KsrXE1",69,"French"
"R_OCpZIBLDgnIOJMZ",68,"English"
"R_1eWbtLAtuOlaZ3b",68,"English"
"R_sBSrMUXOe4vUQdX",68,"English"
"R_12QfwKQkV7tyBzp",68,"English"
