"","Riding","Sex","Official Language Spoken","n","freq"
"247","Rimouski-Neigette--Témiscouata--Les Basques","Male","French",40805,0.985033192516596
"248","Rimouski-Neigette--Témiscouata--Les Basques","Male","English_and_French",70,0.00168980084490042
"249","Rimouski-Neigette--Témiscouata--Les Basques","Male","Neither",10,0.00024140012070006
"250","Rimouski-Neigette--Témiscouata--Les Basques","Male","Language_Minority",285,0.00687990343995172
"251","Charlesbourg--Haute-Saint-Charles","Male","English",615,0.0117265706931071
"252","Charlesbourg--Haute-Saint-Charles","Male","French",50590,0.964629611974449
"253","Charlesbourg--Haute-Saint-Charles","Male","English_and_French",355,0.0067689960911431
"254","Charlesbourg--Haute-Saint-Charles","Male","Neither",90,0.00171608351606445
"255","Charlesbourg--Haute-Saint-Charles","Male","Language_Minority",795,0.015158737725236
"256","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","Male","English",350,0.0075187969924812
"257","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","Male","French",45690,0.981525241675618
"258","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","Male","English_and_French",95,0.00204081632653061
"259","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","Male","Neither",25,0.000537056928034372
"260","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","Male","Language_Minority",390,0.0083780880773362
"261","Châteauguay--Lacolle","Male","English",8395,0.146
"262","Châteauguay--Lacolle","Male","French",38360,0.667130434782609
"263","Châteauguay--Lacolle","Male","English_and_French",1400,0.0243478260869565
"264","Châteauguay--Lacolle","Male","Neither",250,0.00434782608695652
"265","Châteauguay--Lacolle","Male","Language_Minority",9095,0.158173913043478
"266","Chicoutimi--Le Fjord","Male","English",445,0.011016214878079
"267","Chicoutimi--Le Fjord","Male","French",39355,0.974254239386063
"268","Chicoutimi--Le Fjord","Male","English_and_French",95,0.00235177620992697
"269","Chicoutimi--Le Fjord","Male","Neither",10,0.000247555390518629
"270","Chicoutimi--Le Fjord","Male","Language_Minority",490,0.0121302141354128
"271","Compton--Stanstead","Male","English",5835,0.0990998641304348
"272","Compton--Stanstead","Male","French",46610,0.791610054347826
"273","Compton--Stanstead","Male","English_and_French",375,0.00636888586956522
"274","Compton--Stanstead","Male","Neither",40,0.000679347826086957
"275","Compton--Stanstead","Male","Language_Minority",6020,0.102241847826087
"276","Dorval--Lachine--LaSalle","Male","English",21995,0.282095677824804
"277","Dorval--Lachine--LaSalle","Male","French",26025,0.333782223932282
"278","Dorval--Lachine--LaSalle","Male","English_and_French",4675,0.0599589585738104
"279","Dorval--Lachine--LaSalle","Male","Neither",945,0.0121200461716045
"280","Dorval--Lachine--LaSalle","Male","Language_Minority",24330,0.312043093497499
"281","Drummond","Male","English",650,0.0125871417505809
"282","Drummond","Male","French",49860,0.965530596436871
"283","Drummond","Male","English_and_French",225,0.00435708752904725
"284","Drummond","Male","Neither",140,0.00271107668474051
"285","Drummond","Male","Language_Minority",765,0.0148140975987607
"286","Gaspésie--Les Îles-de-la-Madeleine","Male","English",3060,0.0766533066132264
"287","Gaspésie--Les Îles-de-la-Madeleine","Male","French",33660,0.843186372745491
"288","Gaspésie--Les Îles-de-la-Madeleine","Male","English_and_French",90,0.00225450901803607
"289","Gaspésie--Les Îles-de-la-Madeleine","Male","Neither",5,0.000125250501002004
"290","Gaspésie--Les Îles-de-la-Madeleine","Male","Language_Minority",3105,0.0777805611222445
"291","Gatineau","Male","English",4485,0.0793173578565744
"292","Gatineau","Male","French",45355,0.802104518525068
"293","Gatineau","Male","English_and_French",1340,0.023697939694049
"294","Gatineau","Male","Neither",210,0.00371385622070917
"295","Gatineau","Male","Language_Minority",5155,0.0911663277035989
"296","Hochelaga","Male","English",3740,0.0655852696185883
"297","Hochelaga","Male","French",45125,0.791319596668128
"298","Hochelaga","Male","English_and_French",2630,0.0461201227531784
"299","Hochelaga","Male","Neither",470,0.00824199912319158
"300","Hochelaga","Male","Language_Minority",5060,0.0887330118369136
"301","Honoré-Mercier","Male","English",10185,0.168583960936853
"302","Honoré-Mercier","Male","French",33320,0.551518662583795
"303","Honoré-Mercier","Male","English_and_French",4010,0.0663742448067533
"304","Honoré-Mercier","Male","Neither",710,0.0117520483323678
"305","Honoré-Mercier","Male","Language_Minority",12190,0.20177108334023
"306","Hull--Aylmer","Male","English",12195,0.190234771078699
"307","Hull--Aylmer","Male","French",36005,0.561656657047032
"308","Hull--Aylmer","Male","English_and_French",2195,0.0342406988534436
"309","Hull--Aylmer","Male","Neither",420,0.00655175103346073
"310","Hull--Aylmer","Male","Language_Minority",13290,0.207316121987364
"311","Joliette","Male","English",1335,0.0255992329817833
"312","Joliette","Male","French",48905,0.93777564717162
"313","Joliette","Male","English_and_French",265,0.00508149568552253
"314","Joliette","Male","Neither",175,0.00335570469798658
"315","Joliette","Male","Language_Minority",1470,0.0281879194630872
"316","Jonquière","Male","English",325,0.00719583748477804
"317","Jonquière","Male","French",44445,0.984058452341415
"318","Jonquière","Male","English_and_French",40,0.000885641536588066
"319","Jonquière","Male","Neither",5,0.000110705192073508
"320","Jonquière","Male","Language_Minority",350,0.00774936344514558
"321","La Pointe-de-l'Île","Male","English",2220,0.0418788907753254
"322","La Pointe-de-l'Île","Male","French",45785,0.863704961328051
"323","La Pointe-de-l'Île","Male","English_and_French",1645,0.0310318807772118
"324","La Pointe-de-l'Île","Male","Neither",315,0.00594227504244482
"325","La Pointe-de-l'Île","Male","Language_Minority",3045,0.0574419920769666
"326","La Prairie","Male","English",4160,0.0726701021923312
"327","La Prairie","Male","French",46155,0.806271290069002
"328","La Prairie","Male","English_and_French",1735,0.0303083238710804
"329","La Prairie","Male","Neither",170,0.00296969167612892
"330","La Prairie","Male","Language_Minority",5025,0.0877805921914578
"331","Lac-Saint-Jean","Male","English",175,0.00336086038025735
"332","Lac-Saint-Jean","Male","French",51625,0.991453812175917
"333","Lac-Saint-Jean","Male","English_and_French",40,0.000768196658344536
"334","Lac-Saint-Jean","Male","Neither",35,0.000672172076051469
"335","Lac-Saint-Jean","Male","Language_Minority",195,0.00374495870942961
"336","Lac-Saint-Louis","Male","English",33140,0.380788233942319
"337","Lac-Saint-Louis","Male","French",13745,0.157934045731357
"338","Lac-Saint-Louis","Male","English_and_French",4285,0.0492358956681604
"339","Lac-Saint-Louis","Male","Neither",575,0.00660691715500402
"340","Lac-Saint-Louis","Male","Language_Minority",35285,0.40543490750316
"341","LaSalle--Émard--Verdun","Male","English",13965,0.210760639903411
"342","LaSalle--Émard--Verdun","Male","French",32660,0.492906731059463
"343","LaSalle--Émard--Verdun","Male","English_and_French",3340,0.0504074856625415
"344","LaSalle--Émard--Verdun","Male","Neither",660,0.00996076063990341
"345","LaSalle--Émard--Verdun","Male","Language_Minority",15635,0.235964382734682
"346","Laurentides--Labelle","Male","English",2950,0.0500763877100662
"347","Laurentides--Labelle","Male","French",52560,0.892208453573247
"348","Laurentides--Labelle","Male","English_and_French",290,0.00492276353759973
"349","Laurentides--Labelle","Male","Neither",15,0.000254625700220676
"350","Laurentides--Labelle","Male","Language_Minority",3095,0.0525377694788661
"351","Laurier--Sainte-Marie","Male","English",9905,0.14171256885328
"352","Laurier--Sainte-Marie","Male","French",45505,0.651048000572287
"353","Laurier--Sainte-Marie","Male","English_and_French",2675,0.038271693254167
"354","Laurier--Sainte-Marie","Male","Neither",565,0.00808355390228199
"355","Laurier--Sainte-Marie","Male","Language_Minority",11245,0.160884183417984
"356","Laval--Les Îles","Male","English",14730,0.208139041966935
"357","Laval--Les Îles","Male","French",29825,0.421435636569168
"358","Laval--Les Îles","Male","English_and_French",6920,0.0977815458527625
"359","Laval--Les Îles","Male","Neither",1105,0.0156139607178183
"360","Laval--Les Îles","Male","Language_Minority",18190,0.257029814893316
"361","Longueuil--Charles-LeMoyne","Male","English",6340,0.105984620528251
"362","Longueuil--Charles-LeMoyne","Male","French",42760,0.714811099966566
"363","Longueuil--Charles-LeMoyne","Male","English_and_French",2630,0.0439652290203945
"364","Longueuil--Charles-LeMoyne","Male","Neither",435,0.00727181544633902
"365","Longueuil--Charles-LeMoyne","Male","Language_Minority",7655,0.127967235038449
"366","Lévis--Lotbinière","Male","English",575,0.01
"367","Lévis--Lotbinière","Male","French",56105,0.975739130434783
"368","Lévis--Lotbinière","Male","English_and_French",130,0.00226086956521739
"369","Lévis--Lotbinière","Male","Neither",45,0.000782608695652174
"370","Lévis--Lotbinière","Male","Language_Minority",645,0.0112173913043478
"371","Longueuil--Saint-Hubert","Male","English",2855,0.051353538987319
"372","Longueuil--Saint-Hubert","Male","French",46750,0.840902958899182
"373","Longueuil--Saint-Hubert","Male","English_and_French",1925,0.0346254159546722
"374","Longueuil--Saint-Hubert","Male","Neither",250,0.00449680726684054
"375","Longueuil--Saint-Hubert","Male","Language_Minority",3815,0.0686212788919867
"376","Louis-Hébert","Male","English",1320,0.0260072899221752
"377","Louis-Hébert","Male","French",46365,0.913506058516402
"378","Louis-Hébert","Male","English_and_French",1045,0.020589104521722
"379","Louis-Hébert","Male","Neither",185,0.00364496108757758
"380","Louis-Hébert","Male","Language_Minority",1840,0.0362525859521229
"381","Louis-Saint-Laurent","Male","English",840,0.0144653004993973
"382","Louis-Saint-Laurent","Male","French",55735,0.959789908730842
"383","Louis-Saint-Laurent","Male","English_and_French",385,0.00662992939555709
"384","Louis-Saint-Laurent","Male","Neither",75,0.00129154468744619
"385","Louis-Saint-Laurent","Male","Language_Minority",1035,0.0178233166867574
"386","Manicouagan","Male","English",2350,0.0482298614674192
"387","Manicouagan","Male","French",43125,0.885069266290405
"388","Manicouagan","Male","English_and_French",465,0.00954335556695741
"389","Manicouagan","Male","Neither",205,0.00420728578758338
"390","Manicouagan","Male","Language_Minority",2580,0.0529502308876347
"391","Mégantic--L'Érable","Male","English",445,0.0101436061089583
"392","Mégantic--L'Érable","Male","French",42835,0.976407567813996
"393","Mégantic--L'Érable","Male","English_and_French",75,0.00170959653521769
"394","Mégantic--L'Érable","Male","Neither",35,0.000797811716434921
"395","Mégantic--L'Érable","Male","Language_Minority",480,0.0109414178253932
"396","Mirabel","Male","English",2025,0.0330882352941176
"397","Mirabel","Male","French",56215,0.918545751633987
"398","Mirabel","Male","English_and_French",550,0.00898692810457516
"399","Mirabel","Male","Neither",110,0.00179738562091503
"400","Mirabel","Male","Language_Minority",2300,0.0375816993464052
"401","Montarville","Male","English",2725,0.0537263406940063
"402","Montarville","Male","French",43785,0.863268927444795
"403","Montarville","Male","English_and_French",930,0.0183359621451104
"404","Montarville","Male","Neither",85,0.00167586750788644
"405","Montarville","Male","Language_Minority",3195,0.0629929022082019
"406","Montcalm","Male","English",1280,0.0230277952685077
"407","Montcalm","Male","French",52425,0.943150130430872
"408","Montcalm","Male","English_and_French",370,0.006656472069803
"409","Montcalm","Male","Neither",50,0.000899523252676082
"410","Montcalm","Male","Language_Minority",1460,0.0262660789781416
"411","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Male","English",225,0.00476442562202223
"412","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Male","French",46685,0.988565378507147
"413","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Male","English_and_French",40,0.000847008999470619
"414","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Male","Neither",25,0.000529380624669137
"415","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Male","Language_Minority",250,0.00529380624669137
"416","Mont-Royal","Male","English",25190,0.329863157205526
"417","Mont-Royal","Male","French",16080,0.210567668434492
"418","Mont-Royal","Male","English_and_French",5925,0.0775879002160676
"419","Mont-Royal","Male","Neither",1020,0.0133569043409939
"420","Mont-Royal","Male","Language_Minority",28150,0.36862436980292
