"cps19_ResponseId","votechoice"
"R_3Pq8ZhBgJTFG3jP",2
"R_1IAA4cpZzyFdeXh",1
"R_1gBFBoew44yWD5O",3
"R_22PV5LctDRvXsfa",1
"R_25uA1z522izNgD8",5
"R_3rNF7hjVHlhwcvn",9
"R_32KKcGjV57DCNyD",3
"R_2abmDMt5EArm15T",1
"R_1QoJY7eNGjUfqnh",2
"R_4IXP7DR7WghEwBr",4
"R_3RaxWV5Sv7EBGck",2
"R_3gL46e90ZGiLVaK",1
"R_2zSiZTewdnjD9Kj",9
"R_1jwcaOI75WayZiW",1
"R_2B50gOeWEe8lccw",9
"R_efHfjn1Yu6p5Yyd",1
"R_2zCOda1QfjjD3Bn",1
"R_9og1IvtJl1V3lgl",1
"R_2s4uYqqvYJ3Ufzg",4
"R_3kNQLs1CmqJ7270",3
"R_1jPmUocsvODHSYl",2
"R_1jdjogeA60RJAI2",9
"R_BEAVV783rYHub2V",2
"R_32W1YVMFO2VcmQS",1
"R_Zfp4UaYvqPGpZwR",1
"R_2Sc81E34iMB8t6h",1
"R_3EWrrsUEEwPhHjU",2
"R_2b2UBKwvnTGareq",2
"R_xgSawirnnr9s0wh",5
"R_bxbgY81qD7VZUJj",1
"R_3MmPgIiFuXyh4Dq",1
"R_2wGNhZGg6H30BUK",2
"R_1pmoOIKKfTzfvXa",1
"R_2TKLkC7wEijVqZP",2
"R_3GfUXFpWTGH9VXN",1
"R_p61hOUPGx3xMSxr",9
"R_4GxafKMoRWvb8zL",2
"R_1rqrRHtsJ9FfVfC",1
"R_1FPKPeoc8upEB56",5
"R_3m1ZQTO5aB7NL3T",1
"R_2qEFk2n4Mlv1GGY",4
"R_2aXYTmZnxlndF6o",5
"R_cIRgsMyKXN9K5Dr",2
"R_W660MUHAU1z8tS9",9
"R_1eQWSgudNTRjn7d",1
"R_XpjXX8Sv9NM5uXD",2
"R_27pX4TbKdtCA8zV",1
"R_2rkGW7gepqo2jRx",1
"R_2ZOIXJNpZN8IO1u",3
"R_XAGiODQKCnfV6uZ",1
"R_1n1Tm7Jb19pkZUY",1
"R_1DVbP27gmfTmkzd",6
"R_xsdp1KIFkEk86bv",3
"R_2Y9bryBwr76EUGP",2
"R_3ESS7IF4j6QlNnU",2
"R_voCg53AHlpFDdC1",1
"R_3O8ooMrKSlKmBNE",1
"R_2xPCGXhB1flNz8Y",5
"R_DwPARhElVBSQ7CN",5
"R_22tRA3Z1wJmx09z",1
"R_ptvxrbN7fQJrdqF",9
