,cps19_ResponseId,ethnicity
262,R_1nTtOMAGKMVtbLS,English
264,R_DSR32EAlGV2To2Z,Canadian
265,R_2Qzk1LAwPa9z0D7,Canadian
266,R_3HtPOiT32eHYiA6,Canadian
267,R_3prqB926VGiKpLQ,Canadian
268,R_8iCyNhsacB033NL,English
270,R_2BgL981smLSl46F,French
271,R_1ogPKkU0YGCTNLZ,Canadian
273,R_1f1tNUEAzeZahBh,Canadian
274,R_32X6WN1tXyjwJED,Canadian
275,R_siDszMVl4nP4M3T,English
276,R_2QhWE6XAuMba4Bv,Canadian
277,R_3etojmHbLJ9iG2o,English
278,R_3ehoXYXAQqWJs0O,Canadian
279,R_1eQ9yw4VZiaqbmc,Canadian
280,R_3lspCSHxbzz3BSY,Canadian
282,R_2475Kwb2I2OgUSc,First Nations
283,R_3GvNdl07lXSgVNI,Canadian
284,R_1LdFz3q5ZYyWlAn,French
285,R_AcjFHnPZFBL2kNP,Canadian
286,R_2PcY3Plnzfpncpj,First Nations
287,R_129oQHILKVNjv14,Canadian
288,R_3HNC232ig0O4zRn,Canadian
289,R_1dcTstX450VSSmc,Canadian
290,R_p4dXxww3UYzWSK5,Canadian
291,R_3PppRCIrbDi29SI,Canadian
292,R_2PA51ZGMki98OK1,Canadian
293,R_WwicbiS1rWlGbSx,English
294,R_2Qg0ssCRIqt8DQ9,Canadian
296,R_Q6MdNP6ci3SeMDv,Canadian
297,R_ZsHdiqtYgXoW9kl,Canadian
300,R_SCbTtgzZs19jCqB,First Nations
301,R_sdiJ6GRAE4RO6Jz,Irish
303,R_1Oq0q7YNnYH4kZY,Canadian
304,R_6ujIPYl2lN6tB0R,English
306,R_pzmwHJ3YolqyBR7,Canadian
308,R_1IAA4cpZzyFdeXh,Canadian
309,R_1gBFBoew44yWD5O,Canadian
310,R_22PV5LctDRvXsfa,Canadian
311,R_25uA1z522izNgD8,English
312,R_3rNF7hjVHlhwcvn,Canadian
314,R_2abmDMt5EArm15T,Canadian
315,R_1QoJY7eNGjUfqnh,Canadian
316,R_4IXP7DR7WghEwBr,Canadian
317,R_3RaxWV5Sv7EBGck,Canadian
318,R_3gL46e90ZGiLVaK,Canadian
319,R_2zSiZTewdnjD9Kj,Canadian
320,R_1jwcaOI75WayZiW,English
321,R_2B50gOeWEe8lccw,French
322,R_efHfjn1Yu6p5Yyd,English
323,R_2zCOda1QfjjD3Bn,Canadian
325,R_2s4uYqqvYJ3Ufzg,Canadian
327,R_1jPmUocsvODHSYl,Canadian
328,R_1jdjogeA60RJAI2,Italian
329,R_BEAVV783rYHub2V,Canadian
330,R_32W1YVMFO2VcmQS,Canadian
331,R_Zfp4UaYvqPGpZwR,Irish
332,R_2Sc81E34iMB8t6h,Canadian
333,R_3EWrrsUEEwPhHjU,Canadian
335,R_xgSawirnnr9s0wh,Canadian
336,R_bxbgY81qD7VZUJj,Canadian
337,R_3MmPgIiFuXyh4Dq,Canadian
339,R_1pmoOIKKfTzfvXa,Irish
340,R_2TKLkC7wEijVqZP,German
341,R_3GfUXFpWTGH9VXN,English
342,R_p61hOUPGx3xMSxr,Canadian
344,R_1rqrRHtsJ9FfVfC,Canadian
345,R_1FPKPeoc8upEB56,Canadian
346,R_3m1ZQTO5aB7NL3T,Canadian
348,R_2aXYTmZnxlndF6o,Canadian
349,R_cIRgsMyKXN9K5Dr,Canadian
350,R_W660MUHAU1z8tS9,English
352,R_XpjXX8Sv9NM5uXD,French
354,R_2rkGW7gepqo2jRx,Canadian
355,R_2ZOIXJNpZN8IO1u,Canadian
356,R_XAGiODQKCnfV6uZ,Canadian
357,R_1n1Tm7Jb19pkZUY,Canadian
358,R_1DVbP27gmfTmkzd,Canadian
360,R_2Y9bryBwr76EUGP,Canadian
362,R_voCg53AHlpFDdC1,English
363,R_3O8ooMrKSlKmBNE,Canadian
364,R_2xPCGXhB1flNz8Y,Canadian
365,R_DwPARhElVBSQ7CN,Canadian
366,R_22tRA3Z1wJmx09z,Indian
367,R_ptvxrbN7fQJrdqF,First Nations
369,R_1gbXsomNmdwwaDI,Chinese
370,R_1Q3lZMNgJZgsPws,Canadian
372,R_21dOatnEG6at8fC,Canadian
373,R_2AM8MXZ7mzLYTIj,Canadian
374,R_2EgBmNRrKwsloXi,Canadian
375,R_e9Z935oonMdUlSF,Canadian
376,R_NWQklNzqjeRw28p,Canadian
378,R_3IYOl7HzM73hhoc,English
379,R_3QXFi6DCdfjQOuO,English
380,R_3CDY4gDmFOQeTGB,Canadian
382,R_2zAxUtxNimG6U8P,English
383,R_w0gH1c3nlr1DQKR,Canadian
384,R_WvAsBAq1CKO4MP7,Canadian
387,R_22LDpd0ufKwUt72,Chinese
388,R_27CHmENx2OnOtUv,Canadian
389,R_3KW6ff71Z77mbFX,English
390,R_2dnACoohrLDqrzv,Canadian
391,R_2pQOIoi1Q72GgYE,Canadian
392,R_eagwrUYZmoYjjwJ,Canadian
393,R_1F3WRrxBlkHsC3n,Canadian
395,R_1jfB9QGQ6VQ9Gal,Canadian
396,R_3gZXIxuLvc8x3tT,German
397,R_8dgkg3BELHFf97j,Canadian
398,R_2ccNmCqb9mMjD1u,Canadian
399,R_31SeF0u0pSqPGv9,Scottish
402,R_aWwXehbRJURuVXj,English
403,R_2zj8cBR2SvfK75w,Canadian
404,R_tQisdxAZ9pjREeR,Canadian
405,R_3ps9UcX2gPxUbV2,English
406,R_1kXDi6VQuaJayPW,English
408,R_1LSvwUD4vDxNtB2,Canadian
411,R_3qQnpmpai8IjJ4t,Canadian
413,R_7WB5qmdKcIdqN0t,Canadian
414,R_potjJp7X6q7UVRT,Canadian
415,R_31NOS9qVRzvPGeg,English
416,R_1DBTwecLjDCyqn9,Chinese
417,R_20NewS6kMoO6KaY,English
419,R_3lDJ7CzHm01f1jq,Canadian
421,R_dp43OSUOknCpTnX,Italian
422,R_3Ej9UTYu96qBGM7,English
424,R_2sjgYDTxIeeIi7D,Canadian
425,R_2B4gPDT9cpf2GJe,Canadian
427,R_1mtiYgpeIhl6MBu,Canadian
428,R_zU97OqYwU4onifL,English
429,R_1eXmX6vR2el5Hai,Indian
430,R_6RPAvNtx48HTmY9,Canadian
431,R_OpNtEGRq137VK4F,French
432,R_3nvjacWS8TQY8gP,Canadian
433,R_9LCkZYCJosjQiTT,Canadian
437,R_2TnMZ06hKmbTdvf,Canadian
438,R_2aCYkrXZ1Weim3r,Indian
439,R_1pVT9DQqb6ybY7f,Canadian
441,R_33wpupd53eDyQgz,English
442,R_6XdpAU1oZUlNFnz,English
443,R_2aK4DX0jtPiqfRy,Canadian
444,R_2Cjt5ZeTBXIVLJj,Chinese
445,R_2UXzqUZTVPIXXn5,Canadian
446,R_2c6DraUqsnKfi9f,Canadian
448,R_ZHO0UMguCKWFL6p,English
451,R_3dKfNJ9GdRZVDsa,Canadian
452,R_vC7NkRvDpFpvyHT,English
453,R_1dmJjIr4H0WiGmg,Indian
454,R_1i3eUyRjwb5b56j,English
455,R_21vttM9TvtxfO3X,English
456,R_d6DrsDqQGIboop3,Canadian
457,R_1eqo0jIkPRVKyNS,Canadian
458,R_1CkgT7nmsxFPqx1,French
459,R_zcAcI7zbeTY3PIB,Canadian
460,R_3MrFA2ktLdEK4n6,German
462,R_2uDpsbpoPfeNUWa,English
463,R_12bhcnCJxkNLq1s,Canadian
464,R_1dAF50FEG0yel9G,Canadian
465,R_urzu1qBSCuUL6PD,English
466,R_2wpo81Ft0dmlUBI,English
468,R_xf6krTaSHcECfaF,English
469,R_ULwVGxWsgyKT8T7,French
470,R_2bJYx7HIghSpcTZ,English
471,R_1gMzkwPFqvgLs7H,French
472,R_3Em7zkSwCwfM1sw,Canadian
473,R_22Q6q5p2jo0MvWs,Canadian
474,R_4PjjWUP5nJ69nhL,Canadian
476,R_3O2NkCoDKRXE4nM,English
477,R_Uz5nIKNsEVVOkKd,Canadian
478,R_3gRgNoVaQOZalpx,Irish
480,R_2Bafrkjzm5RHJFQ,Irish
481,R_ByqOkdMO22smd7H,Canadian
482,R_UMd6b5p2ZdfNmRH,English
483,R_2DOHny7XBOUTz0F,English
484,R_UWry4KLwjXqlN5f,English
485,R_1Qg7InMRsJ5l84Y,Canadian
486,R_2wH9GeAtREdcWid,English
487,R_3iQnUaaNDCRSAgq,Canadian
488,R_33ealWiuSsXFzO6,Canadian
490,R_1Kw0WAwUq1u8lvT,English
492,R_2SdHVE41DAyqqRz,English
493,R_1mtm5QXlAEwtLB6,Canadian
494,R_2QXOaOvlg2IuL6g,Italian
495,R_1qhceWFKcBC4ZOY,Canadian
496,R_33rPepmAvw5d58n,Canadian
497,R_3Jr5a63frgUMkYD,Canadian
498,R_3NyP1yCIHotebqi,Italian
499,R_1MQmofpmaXIbrQe,Canadian
500,R_332rEqSUNpgeE1s,Canadian
501,R_3GkuhewK17SFngU,Canadian
502,R_1jev0enOUSS2Y1T,Canadian
503,R_2y9oEzQGfp67Q8X,Canadian
504,R_3PNNOq5vxPBJrLx,Canadian
505,R_3gS1U7oGV05bTJ3,Canadian
506,R_6EYfg9PLNyUAZDr,Canadian
507,R_32VBjG3UNPdiHDG,English
509,R_2f1zfy8Pg4DoPBn,Canadian
510,R_x3e4nxnzetpJezD,Canadian
512,R_1OZTnsudSjxYnPk,English
513,R_1NaeV8T3u5uLxIy,Canadian
514,R_2ZCUJFQrO9WQSw1,Canadian
515,R_1LNWcvIIvcy2TIV,Canadian
516,R_28YvU5w7h09BNgN,Italian
517,R_1gpbnuPz8DRxBpV,English
518,R_2zTib9CpFVtLgnq,Canadian
519,R_1QrqQ2uPpDTK3Bj,Canadian
520,R_1OjCFAnugrIpgOh,Canadian
521,R_1Oq5NSkwcGgE9t9,Indian
522,R_74hqaqfwxoIGjyF,Canadian
523,R_3MfLlx6Xb2KmanQ,Scottish
527,R_3MuK4KvYj7EP9ps,English
528,R_3ixsLJ6sjtRAoZA,Canadian
530,R_wLUMwC3vnQhrwRj,Canadian
531,R_2viU3hC6sMVpXMc,Canadian
533,R_1LFnw0Hi1WyetMw,Canadian
534,R_3rZKsrhpaJipFtv,French
535,R_3374ZmZaFAe3SD2,German
536,R_3ejTuopJEHD4Ppn,French
538,R_3psRSM3J0Wm8t9k,Canadian
539,R_3F58aluresiHdWP,Canadian
541,R_z7pwlDxNwAji56V,Canadian
542,R_3JJIzj24DqgUzbw,Irish
543,R_3QGDUYyiEJbza5H,Canadian
544,R_2TZbdOcBrX2ogZa,English
545,R_1j7jiIv8mpd74Sr,Canadian
546,R_r7nMHoo2HFvyqLn,English
547,R_068M0pjC6pLxnrP,Canadian
548,R_3CTURJqDojS7q22,Canadian
549,R_216AgN7aJ1DPJWj,Canadian
550,R_3iPuzFmTezJgk4V,Canadian
551,R_1JFmPR5npWyzCUI,Scottish
552,R_22qRqLzMSLJrpBA,Canadian
553,R_1MQYGHWikAMm9Bb,German
554,R_2xWeCYlYGWFmY12,Chinese
556,R_3MmoIf4WSNdQStj,Chinese
557,R_25sci4nQTzswhxD,Canadian
560,R_p3Gd618o5Fvw1KF,Canadian
561,R_1hG4MHT8CcIMNXa,Canadian
562,R_1JXwnaWnYNBGj9H,French
564,R_1Olf2vEAbinuohR,Canadian
565,R_29nVQHDslDPFgEM,Canadian
566,R_3HHL1rJYxRWOdRh,Indian
567,R_3harGWap6BljVmN,Scottish
568,R_1Edi3DoieLhKxHp,Canadian
569,R_3phuEIsrxG4Clmo,Canadian
570,R_2wuHFkzIIUtyTrO,Canadian
572,R_1eCzK6RISI49WDm,Canadian
573,R_eeQJ18S9BvsCsuZ,Canadian
574,R_1jvojew7nZTZPNH,First Nations
575,R_2EFX5izTNWaZ5K9,English
576,R_12Pk9CKhp3Zjpwf,French
577,R_12gvvxCJlrNkBG2,Canadian
579,R_w6llo8ak6isdY3v,Italian
580,R_3KooJqreCaIuclH,Canadian
581,R_6yrCn1PnBoIlaXn,Canadian
582,R_27vNvpYoAPtIeBX,Canadian
583,R_1jVA7952fg5RPVZ,Canadian
585,R_3lJmX2TYy4Q82LU,Canadian
586,R_1hETC0rWIuiGRhb,English
587,R_3JegHShciiFKZ7w,Canadian
