"cps19_ResponseId","language"
"R_2Qzk1LAwPa9z0D7","English"
"R_3HtPOiT32eHYiA6","French"
"R_3prqB926VGiKpLQ","English"
"R_8iCyNhsacB033NL","English"
"R_yKMtKdEEbsNubIJ","English"
"R_2BgL981smLSl46F","French"
"R_1ogPKkU0YGCTNLZ","French"
"R_3HOBUzh5RjbIJlo","English"
"R_1f1tNUEAzeZahBh","English"
"R_32X6WN1tXyjwJED","French"
"R_siDszMVl4nP4M3T","English"
"R_2QhWE6XAuMba4Bv","French"
"R_3etojmHbLJ9iG2o","English"
"R_3ehoXYXAQqWJs0O","English"
"R_1eQ9yw4VZiaqbmc","English_and_French"
"R_3lspCSHxbzz3BSY","Neither"
"R_2THGD3oG1TNYIla","French"
"R_2475Kwb2I2OgUSc","English"
"R_3GvNdl07lXSgVNI","French"
"R_1LdFz3q5ZYyWlAn","French"
"R_AcjFHnPZFBL2kNP","English"
"R_2PcY3Plnzfpncpj","English"
"R_129oQHILKVNjv14","English"
"R_3HNC232ig0O4zRn","English"
"R_1dcTstX450VSSmc","English"
"R_p4dXxww3UYzWSK5","French"
"R_3PppRCIrbDi29SI","French"
"R_2PA51ZGMki98OK1","Neither"
"R_WwicbiS1rWlGbSx","English"
"R_2Qg0ssCRIqt8DQ9","English"
"R_1pGzaPFO5X0lju3","English"
"R_Q6MdNP6ci3SeMDv","English_and_French"
"R_ZsHdiqtYgXoW9kl","Neither"
"R_3DvZ2sBpbl11Vvw","English"
"R_6qZbnjlq9YM576V","French"
"R_SCbTtgzZs19jCqB","English"
"R_sdiJ6GRAE4RO6Jz","English"
"R_27j7BkAW5rcEqw1","English"
"R_1Oq0q7YNnYH4kZY","French"
"R_6ujIPYl2lN6tB0R","English"
"R_3ISJBSAShskucqu","English_and_French"
"R_pzmwHJ3YolqyBR7","English"
"R_3Pq8ZhBgJTFG3jP","Neither"
"R_1IAA4cpZzyFdeXh","English"
"R_1gBFBoew44yWD5O","Neither"
"R_22PV5LctDRvXsfa","English"
"R_25uA1z522izNgD8","English"
"R_3rNF7hjVHlhwcvn","English"
"R_32KKcGjV57DCNyD","English"
"R_2abmDMt5EArm15T","English"
"R_1QoJY7eNGjUfqnh","English"
"R_4IXP7DR7WghEwBr","French"
"R_3RaxWV5Sv7EBGck","English"
"R_3gL46e90ZGiLVaK","English"
"R_2zSiZTewdnjD9Kj","French"
"R_1jwcaOI75WayZiW","English_and_French"
"R_2B50gOeWEe8lccw","French"
"R_efHfjn1Yu6p5Yyd","English_and_French"
"R_2zCOda1QfjjD3Bn","English_and_French"
"R_9og1IvtJl1V3lgl","French"
"R_2s4uYqqvYJ3Ufzg","French"
"R_3kNQLs1CmqJ7270","English_and_French"
"R_1jPmUocsvODHSYl","English"
"R_1jdjogeA60RJAI2","English"
"R_BEAVV783rYHub2V","French"
"R_32W1YVMFO2VcmQS","English"
"R_Zfp4UaYvqPGpZwR","English"
"R_2Sc81E34iMB8t6h","English"
"R_3EWrrsUEEwPhHjU","French"
"R_2b2UBKwvnTGareq","English"
"R_xgSawirnnr9s0wh","English"
"R_bxbgY81qD7VZUJj","Neither"
"R_3MmPgIiFuXyh4Dq","Neither"
"R_2wGNhZGg6H30BUK","English"
"R_1pmoOIKKfTzfvXa","English"
"R_2TKLkC7wEijVqZP","English"
"R_3GfUXFpWTGH9VXN","English"
"R_p61hOUPGx3xMSxr","English"
"R_4GxafKMoRWvb8zL","English"
"R_1rqrRHtsJ9FfVfC","English"
"R_1FPKPeoc8upEB56","Neither"
"R_3m1ZQTO5aB7NL3T","English"
"R_2qEFk2n4Mlv1GGY","French"
"R_2aXYTmZnxlndF6o","French"
"R_cIRgsMyKXN9K5Dr","Neither"
"R_W660MUHAU1z8tS9","English"
"R_1eQWSgudNTRjn7d","English"
"R_XpjXX8Sv9NM5uXD","French"
"R_27pX4TbKdtCA8zV","French"
"R_2rkGW7gepqo2jRx","English"
"R_2ZOIXJNpZN8IO1u","English"
"R_XAGiODQKCnfV6uZ","English"
"R_1n1Tm7Jb19pkZUY","Neither"
"R_1DVbP27gmfTmkzd","French"
"R_xsdp1KIFkEk86bv","English"
"R_2Y9bryBwr76EUGP","French"
"R_3ESS7IF4j6QlNnU","French"
"R_voCg53AHlpFDdC1","English"
"R_3O8ooMrKSlKmBNE","English"
"R_2xPCGXhB1flNz8Y","French"
"R_DwPARhElVBSQ7CN","French"
"R_22tRA3Z1wJmx09z","English"
"R_ptvxrbN7fQJrdqF","English"
"R_6hwE8TsPGe5DvHz","English"
"R_1gbXsomNmdwwaDI","English"
"R_1Q3lZMNgJZgsPws","French"
"R_eQmls1CX8xJiUg1","English"
"R_21dOatnEG6at8fC","English"
"R_2AM8MXZ7mzLYTIj","French"
"R_2EgBmNRrKwsloXi","Neither"
"R_e9Z935oonMdUlSF","English_and_French"
"R_NWQklNzqjeRw28p","English"
"R_1hyWWmzolSQJr9j","English"
"R_3IYOl7HzM73hhoc","English_and_French"
"R_3QXFi6DCdfjQOuO","English"
"R_3CDY4gDmFOQeTGB","English_and_French"
"R_2rMxXeAVObNMhkc","English"
"R_2zAxUtxNimG6U8P","English"
"R_w0gH1c3nlr1DQKR","French"
"R_WvAsBAq1CKO4MP7","French"
"R_2EGnr9wNzrkyn6S","English"
"R_UQJqj9sPbudXx9T","English"
"R_22LDpd0ufKwUt72","English"
"R_27CHmENx2OnOtUv","English"
"R_3KW6ff71Z77mbFX","English"
"R_2dnACoohrLDqrzv","English"
"R_2pQOIoi1Q72GgYE","English"
"R_eagwrUYZmoYjjwJ","French"
"R_1F3WRrxBlkHsC3n","English_and_French"
"R_6D0o0mtsSYsE8fv","English"
"R_1jfB9QGQ6VQ9Gal","French"
"R_3gZXIxuLvc8x3tT","English"
"R_8dgkg3BELHFf97j","English"
"R_2ccNmCqb9mMjD1u","English_and_French"
"R_31SeF0u0pSqPGv9","English"
"R_3EyZpQfWHWDNeEN","French"
"R_8e6Q8Ld5k3MiOBj","French"
"R_aWwXehbRJURuVXj","English"
"R_2zj8cBR2SvfK75w","Neither"
"R_tQisdxAZ9pjREeR","English"
"R_3ps9UcX2gPxUbV2","English"
"R_1kXDi6VQuaJayPW","English"
"R_2ZVSp83mLt9VDkt","English"
"R_1LSvwUD4vDxNtB2","French"
"R_3M6w4JnD2o6jZY3","English"
"R_BEfD4454WKolhHr","English"
"R_3qQnpmpai8IjJ4t","French"
"R_2AYlwO3keBiRWW4","English"
"R_7WB5qmdKcIdqN0t","English_and_French"
"R_potjJp7X6q7UVRT","French"
"R_31NOS9qVRzvPGeg","English"
"R_1DBTwecLjDCyqn9","English"
"R_20NewS6kMoO6KaY","English"
"R_PBU6xO0cVqL8VnX","English_and_French"
"R_3lDJ7CzHm01f1jq","English"
"R_2WM8gLQvk9yIxwB","English"
"R_dp43OSUOknCpTnX","English"
"R_3Ej9UTYu96qBGM7","English"
"R_3ETsEvkWbN7wiMl","English_and_French"
"R_2sjgYDTxIeeIi7D","English"
"R_2B4gPDT9cpf2GJe","English"
"R_yvSc9MoNDhphtYZ","English"
"R_1mtiYgpeIhl6MBu","French"
"R_zU97OqYwU4onifL","English"
"R_1eXmX6vR2el5Hai","English"
"R_6RPAvNtx48HTmY9","English"
"R_OpNtEGRq137VK4F","English"
"R_3nvjacWS8TQY8gP","English"
"R_9LCkZYCJosjQiTT","English_and_French"
"R_3M9d9R3W7gBcfEv","French"
"R_3p4uqmGQurFFBAE","English"
"R_emQjGcjkI3Vsvn3","English"
"R_2TnMZ06hKmbTdvf","English"
"R_2aCYkrXZ1Weim3r","English_and_French"
"R_1pVT9DQqb6ybY7f","French"
"R_1ZCPvRAiK9belPj","English"
"R_33wpupd53eDyQgz","English"
"R_6XdpAU1oZUlNFnz","English"
"R_2aK4DX0jtPiqfRy","English"
"R_2Cjt5ZeTBXIVLJj","Neither"
"R_2UXzqUZTVPIXXn5","English"
"R_2c6DraUqsnKfi9f","English"
"R_eyb9obwN1lstOM1","English"
"R_ZHO0UMguCKWFL6p","English"
"R_1q1yxPRGa0Nwbla","Neither"
"R_3kzi7Ui1tW0wD4q","English"
"R_3dKfNJ9GdRZVDsa","French"
"R_vC7NkRvDpFpvyHT","English"
"R_1dmJjIr4H0WiGmg","Neither"
"R_1i3eUyRjwb5b56j","English"
"R_21vttM9TvtxfO3X","English"
"R_d6DrsDqQGIboop3","French"
"R_1eqo0jIkPRVKyNS","English"
"R_1CkgT7nmsxFPqx1","English"
"R_zcAcI7zbeTY3PIB","Neither"
"R_3MrFA2ktLdEK4n6","English"
"R_28P2EQMtzj9u2nB","English"
"R_2uDpsbpoPfeNUWa","English"
"R_12bhcnCJxkNLq1s","Neither"
"R_1dAF50FEG0yel9G","English"
"R_urzu1qBSCuUL6PD","English"
"R_2wpo81Ft0dmlUBI","English"
"R_2t2Ol2Kq6x1HaVo","Neither"
"R_xf6krTaSHcECfaF","English"
"R_ULwVGxWsgyKT8T7","French"
"R_2bJYx7HIghSpcTZ","English"
"R_1gMzkwPFqvgLs7H","French"
"R_3Em7zkSwCwfM1sw","English"
"R_22Q6q5p2jo0MvWs","French"
"R_4PjjWUP5nJ69nhL","French"
"R_25GXomDNmOeQ5mW","English"
"R_3O2NkCoDKRXE4nM","English"
"R_Uz5nIKNsEVVOkKd","French"
"R_3gRgNoVaQOZalpx","English"
"R_1porg5xViqdBH3L","French"
"R_2Bafrkjzm5RHJFQ","English"
"R_ByqOkdMO22smd7H","French"
"R_UMd6b5p2ZdfNmRH","English_and_French"
"R_2DOHny7XBOUTz0F","English"
"R_UWry4KLwjXqlN5f","English"
"R_1Qg7InMRsJ5l84Y","French"
"R_2wH9GeAtREdcWid","English"
"R_3iQnUaaNDCRSAgq","English"
"R_33ealWiuSsXFzO6","English"
"R_12bgvuwAFCtNXZo","French"
"R_1Kw0WAwUq1u8lvT","English_and_French"
"R_cOzrsO0DABrlEfT","English_and_French"
"R_2SdHVE41DAyqqRz","English"
"R_1mtm5QXlAEwtLB6","English_and_French"
"R_2QXOaOvlg2IuL6g","French"
"R_1qhceWFKcBC4ZOY","English"
"R_33rPepmAvw5d58n","English"
"R_3Jr5a63frgUMkYD","English"
