,cps19_ResponseId,cps19_province,cps19_age
296,R_Q6MdNP6ci3SeMDv,22,73
297,R_ZsHdiqtYgXoW9kl,22,63
298,R_3DvZ2sBpbl11Vvw,22,72
299,R_6qZbnjlq9YM576V,24,54
300,R_SCbTtgzZs19jCqB,22,50
301,R_sdiJ6GRAE4RO6Jz,23,61
302,R_27j7BkAW5rcEqw1,22,44
303,R_1Oq0q7YNnYH4kZY,24,40
304,R_6ujIPYl2lN6tB0R,17,56
305,R_3ISJBSAShskucqu,17,34
306,R_pzmwHJ3YolqyBR7,22,59
307,R_3Pq8ZhBgJTFG3jP,22,57
308,R_1IAA4cpZzyFdeXh,18,31
309,R_1gBFBoew44yWD5O,22,59
310,R_22PV5LctDRvXsfa,22,63
311,R_25uA1z522izNgD8,22,61
312,R_3rNF7hjVHlhwcvn,22,54
313,R_32KKcGjV57DCNyD,22,67
314,R_2abmDMt5EArm15T,22,72
315,R_1QoJY7eNGjUfqnh,22,53
316,R_4IXP7DR7WghEwBr,24,30
317,R_3RaxWV5Sv7EBGck,14,23
318,R_3gL46e90ZGiLVaK,18,59
319,R_2zSiZTewdnjD9Kj,24,60
320,R_1jwcaOI75WayZiW,22,73
321,R_2B50gOeWEe8lccw,24,59
322,R_efHfjn1Yu6p5Yyd,24,69
323,R_2zCOda1QfjjD3Bn,22,83
324,R_9og1IvtJl1V3lgl,24,57
325,R_2s4uYqqvYJ3Ufzg,24,58
326,R_3kNQLs1CmqJ7270,22,50
327,R_1jPmUocsvODHSYl,18,73
328,R_1jdjogeA60RJAI2,24,37
329,R_BEAVV783rYHub2V,24,52
330,R_32W1YVMFO2VcmQS,20,79
331,R_Zfp4UaYvqPGpZwR,22,70
332,R_2Sc81E34iMB8t6h,22,99
333,R_3EWrrsUEEwPhHjU,24,65
334,R_2b2UBKwvnTGareq,17,64
335,R_xgSawirnnr9s0wh,22,72
336,R_bxbgY81qD7VZUJj,24,39
337,R_3MmPgIiFuXyh4Dq,22,73
338,R_2wGNhZGg6H30BUK,14,35
339,R_1pmoOIKKfTzfvXa,22,67
340,R_2TKLkC7wEijVqZP,22,69
341,R_3GfUXFpWTGH9VXN,22,61
342,R_p61hOUPGx3xMSxr,22,49
343,R_4GxafKMoRWvb8zL,22,56
344,R_1rqrRHtsJ9FfVfC,22,32
345,R_1FPKPeoc8upEB56,14,20
346,R_3m1ZQTO5aB7NL3T,22,63
347,R_2qEFk2n4Mlv1GGY,24,75
348,R_2aXYTmZnxlndF6o,24,58
349,R_cIRgsMyKXN9K5Dr,22,76
350,R_W660MUHAU1z8tS9,24,49
351,R_1eQWSgudNTRjn7d,24,59
352,R_XpjXX8Sv9NM5uXD,24,60
353,R_27pX4TbKdtCA8zV,24,56
354,R_2rkGW7gepqo2jRx,22,61
355,R_2ZOIXJNpZN8IO1u,22,61
356,R_XAGiODQKCnfV6uZ,22,61
357,R_1n1Tm7Jb19pkZUY,22,68
358,R_1DVbP27gmfTmkzd,24,62
359,R_xsdp1KIFkEk86bv,22,39
360,R_2Y9bryBwr76EUGP,24,38
361,R_3ESS7IF4j6QlNnU,24,45
362,R_voCg53AHlpFDdC1,17,50
363,R_3O8ooMrKSlKmBNE,18,71
364,R_2xPCGXhB1flNz8Y,24,45
365,R_DwPARhElVBSQ7CN,24,70
366,R_22tRA3Z1wJmx09z,22,49
367,R_ptvxrbN7fQJrdqF,22,36
368,R_6hwE8TsPGe5DvHz,22,49
369,R_1gbXsomNmdwwaDI,22,54
370,R_1Q3lZMNgJZgsPws,24,51
371,R_eQmls1CX8xJiUg1,22,61
372,R_21dOatnEG6at8fC,22,56
373,R_2AM8MXZ7mzLYTIj,24,53
374,R_2EgBmNRrKwsloXi,22,51
375,R_e9Z935oonMdUlSF,22,56
376,R_NWQklNzqjeRw28p,22,64
377,R_1hyWWmzolSQJr9j,22,47
378,R_3IYOl7HzM73hhoc,22,44
379,R_3QXFi6DCdfjQOuO,15,52
380,R_3CDY4gDmFOQeTGB,22,65
381,R_2rMxXeAVObNMhkc,15,45
382,R_2zAxUtxNimG6U8P,22,48
383,R_w0gH1c3nlr1DQKR,24,57
384,R_WvAsBAq1CKO4MP7,24,53
385,R_2EGnr9wNzrkyn6S,22,47
386,R_UQJqj9sPbudXx9T,22,82
387,R_22LDpd0ufKwUt72,22,54
388,R_27CHmENx2OnOtUv,18,50
389,R_3KW6ff71Z77mbFX,22,47
390,R_2dnACoohrLDqrzv,22,52
391,R_2pQOIoi1Q72GgYE,23,56
392,R_eagwrUYZmoYjjwJ,24,39
393,R_1F3WRrxBlkHsC3n,24,21
394,R_6D0o0mtsSYsE8fv,22,70
395,R_1jfB9QGQ6VQ9Gal,24,58
396,R_3gZXIxuLvc8x3tT,22,60
397,R_8dgkg3BELHFf97j,20,25
398,R_2ccNmCqb9mMjD1u,24,58
399,R_31SeF0u0pSqPGv9,22,61
400,R_3EyZpQfWHWDNeEN,24,72
401,R_8e6Q8Ld5k3MiOBj,24,39
402,R_aWwXehbRJURuVXj,18,52
403,R_2zj8cBR2SvfK75w,22,56
404,R_tQisdxAZ9pjREeR,18,65
405,R_3ps9UcX2gPxUbV2,22,54
406,R_1kXDi6VQuaJayPW,18,48
407,R_2ZVSp83mLt9VDkt,22,36
408,R_1LSvwUD4vDxNtB2,24,71
409,R_3M6w4JnD2o6jZY3,20,72
410,R_BEfD4454WKolhHr,24,49
411,R_3qQnpmpai8IjJ4t,24,52
