"cps19_ResponseId","cps19_income_cat"
"R_2BgL981smLSl46F",1
"R_1ogPKkU0YGCTNLZ",4
"R_3HOBUzh5RjbIJlo",2
"R_1f1tNUEAzeZahBh",8
"R_32X6WN1tXyjwJED",4
"R_siDszMVl4nP4M3T",2
"R_2QhWE6XAuMba4Bv",5
"R_3etojmHbLJ9iG2o",3
"R_3ehoXYXAQqWJs0O",6
"R_1eQ9yw4VZiaqbmc",2
"R_3lspCSHxbzz3BSY",6
"R_2THGD3oG1TNYIla",3
"R_2475Kwb2I2OgUSc",4
"R_3GvNdl07lXSgVNI",4
"R_1LdFz3q5ZYyWlAn",9
"R_AcjFHnPZFBL2kNP",2
"R_2PcY3Plnzfpncpj",4
"R_129oQHILKVNjv14",5
"R_3HNC232ig0O4zRn",3
"R_1dcTstX450VSSmc",4
"R_p4dXxww3UYzWSK5",5
"R_3PppRCIrbDi29SI",9
"R_2PA51ZGMki98OK1",9
"R_WwicbiS1rWlGbSx",3
"R_2Qg0ssCRIqt8DQ9",3
"R_1pGzaPFO5X0lju3",2
"R_Q6MdNP6ci3SeMDv",4
"R_ZsHdiqtYgXoW9kl",3
"R_3DvZ2sBpbl11Vvw",2
"R_6qZbnjlq9YM576V",3
"R_SCbTtgzZs19jCqB",3
"R_sdiJ6GRAE4RO6Jz",6
"R_27j7BkAW5rcEqw1",4
"R_1Oq0q7YNnYH4kZY",4
"R_6ujIPYl2lN6tB0R",3
"R_3ISJBSAShskucqu",6
"R_pzmwHJ3YolqyBR7",3
"R_3Pq8ZhBgJTFG3jP",6
"R_1IAA4cpZzyFdeXh",2
"R_1gBFBoew44yWD5O",3
"R_22PV5LctDRvXsfa",7
"R_25uA1z522izNgD8",4
"R_3rNF7hjVHlhwcvn",3
"R_32KKcGjV57DCNyD",5
"R_2abmDMt5EArm15T",3
"R_1QoJY7eNGjUfqnh",5
"R_4IXP7DR7WghEwBr",9
"R_3RaxWV5Sv7EBGck",3
"R_3gL46e90ZGiLVaK",6
"R_2zSiZTewdnjD9Kj",5
"R_1jwcaOI75WayZiW",3
"R_2B50gOeWEe8lccw",2
"R_efHfjn1Yu6p5Yyd",3
"R_2zCOda1QfjjD3Bn",3
"R_9og1IvtJl1V3lgl",6
"R_2s4uYqqvYJ3Ufzg",9
"R_3kNQLs1CmqJ7270",9
"R_1jPmUocsvODHSYl",4
"R_1jdjogeA60RJAI2",9
"R_BEAVV783rYHub2V",4
"R_32W1YVMFO2VcmQS",3
"R_Zfp4UaYvqPGpZwR",7
"R_2Sc81E34iMB8t6h",3
"R_3EWrrsUEEwPhHjU",2
"R_2b2UBKwvnTGareq",9
"R_xgSawirnnr9s0wh",3
"R_bxbgY81qD7VZUJj",6
"R_3MmPgIiFuXyh4Dq",6
"R_2wGNhZGg6H30BUK",2
"R_1pmoOIKKfTzfvXa",4
"R_2TKLkC7wEijVqZP",9
"R_3GfUXFpWTGH9VXN",9
"R_p61hOUPGx3xMSxr",6
"R_4GxafKMoRWvb8zL",3
"R_1rqrRHtsJ9FfVfC",3
"R_1FPKPeoc8upEB56",2
"R_3m1ZQTO5aB7NL3T",4
"R_2qEFk2n4Mlv1GGY",2
"R_2aXYTmZnxlndF6o",5
"R_cIRgsMyKXN9K5Dr",5
"R_W660MUHAU1z8tS9",4
"R_1eQWSgudNTRjn7d",3
"R_XpjXX8Sv9NM5uXD",3
"R_27pX4TbKdtCA8zV",3
"R_2rkGW7gepqo2jRx",7
"R_2ZOIXJNpZN8IO1u",4
"R_XAGiODQKCnfV6uZ",9
"R_1n1Tm7Jb19pkZUY",3
"R_1DVbP27gmfTmkzd",3
"R_xsdp1KIFkEk86bv",2
"R_2Y9bryBwr76EUGP",2
"R_3ESS7IF4j6QlNnU",6
"R_voCg53AHlpFDdC1",3
"R_3O8ooMrKSlKmBNE",2
"R_2xPCGXhB1flNz8Y",5
"R_DwPARhElVBSQ7CN",2
"R_22tRA3Z1wJmx09z",4
"R_ptvxrbN7fQJrdqF",2
"R_6hwE8TsPGe5DvHz",3
"R_1gbXsomNmdwwaDI",5
"R_1Q3lZMNgJZgsPws",3
"R_eQmls1CX8xJiUg1",7
"R_21dOatnEG6at8fC",8
"R_2AM8MXZ7mzLYTIj",9
"R_2EgBmNRrKwsloXi",3
"R_e9Z935oonMdUlSF",6
"R_NWQklNzqjeRw28p",4
"R_1hyWWmzolSQJr9j",2
"R_3IYOl7HzM73hhoc",3
"R_3QXFi6DCdfjQOuO",4
"R_3CDY4gDmFOQeTGB",5
"R_2rMxXeAVObNMhkc",2
"R_2zAxUtxNimG6U8P",4
"R_w0gH1c3nlr1DQKR",4
"R_WvAsBAq1CKO4MP7",9
"R_2EGnr9wNzrkyn6S",3
"R_UQJqj9sPbudXx9T",2
"R_22LDpd0ufKwUt72",7
"R_27CHmENx2OnOtUv",7
"R_3KW6ff71Z77mbFX",2
"R_2dnACoohrLDqrzv",4
"R_2pQOIoi1Q72GgYE",3
"R_eagwrUYZmoYjjwJ",2
"R_1F3WRrxBlkHsC3n",2
"R_6D0o0mtsSYsE8fv",2
"R_1jfB9QGQ6VQ9Gal",3
"R_3gZXIxuLvc8x3tT",7
"R_8dgkg3BELHFf97j",4
"R_2ccNmCqb9mMjD1u",7
"R_31SeF0u0pSqPGv9",6
"R_3EyZpQfWHWDNeEN",5
"R_8e6Q8Ld5k3MiOBj",6
"R_aWwXehbRJURuVXj",9
"R_2zj8cBR2SvfK75w",3
"R_tQisdxAZ9pjREeR",9
"R_3ps9UcX2gPxUbV2",4
"R_1kXDi6VQuaJayPW",3
"R_2ZVSp83mLt9VDkt",2
"R_1LSvwUD4vDxNtB2",3
"R_3M6w4JnD2o6jZY3",2
"R_BEfD4454WKolhHr",2
"R_3qQnpmpai8IjJ4t",6
"R_2AYlwO3keBiRWW4",3
"R_7WB5qmdKcIdqN0t",3
"R_potjJp7X6q7UVRT",6
"R_31NOS9qVRzvPGeg",9
"R_1DBTwecLjDCyqn9",8
"R_20NewS6kMoO6KaY",5
"R_PBU6xO0cVqL8VnX",4
"R_3lDJ7CzHm01f1jq",9
"R_2WM8gLQvk9yIxwB",6
"R_dp43OSUOknCpTnX",3
"R_3Ej9UTYu96qBGM7",5
"R_3ETsEvkWbN7wiMl",5
"R_2sjgYDTxIeeIi7D",4
"R_2B4gPDT9cpf2GJe",3
"R_yvSc9MoNDhphtYZ",5
"R_1mtiYgpeIhl6MBu",4
"R_zU97OqYwU4onifL",4
"R_1eXmX6vR2el5Hai",5
"R_6RPAvNtx48HTmY9",3
"R_OpNtEGRq137VK4F",4
"R_3nvjacWS8TQY8gP",3
"R_9LCkZYCJosjQiTT",3
"R_3M9d9R3W7gBcfEv",3
"R_3p4uqmGQurFFBAE",4
"R_emQjGcjkI3Vsvn3",2
"R_2TnMZ06hKmbTdvf",4
"R_2aCYkrXZ1Weim3r",4
"R_1pVT9DQqb6ybY7f",2
"R_1ZCPvRAiK9belPj",3
"R_33wpupd53eDyQgz",3
"R_6XdpAU1oZUlNFnz",4
"R_2aK4DX0jtPiqfRy",2
"R_2Cjt5ZeTBXIVLJj",4
"R_2UXzqUZTVPIXXn5",3
"R_2c6DraUqsnKfi9f",3
"R_eyb9obwN1lstOM1",6
"R_ZHO0UMguCKWFL6p",2
"R_1q1yxPRGa0Nwbla",5
"R_3kzi7Ui1tW0wD4q",2
"R_3dKfNJ9GdRZVDsa",8
"R_vC7NkRvDpFpvyHT",4
"R_1dmJjIr4H0WiGmg",2
"R_1i3eUyRjwb5b56j",4
"R_21vttM9TvtxfO3X",3
"R_d6DrsDqQGIboop3",3
"R_1eqo0jIkPRVKyNS",3
"R_1CkgT7nmsxFPqx1",7
"R_zcAcI7zbeTY3PIB",2
"R_3MrFA2ktLdEK4n6",3
"R_28P2EQMtzj9u2nB",3
"R_2uDpsbpoPfeNUWa",6
"R_12bhcnCJxkNLq1s",3
"R_1dAF50FEG0yel9G",5
"R_urzu1qBSCuUL6PD",8
"R_2wpo81Ft0dmlUBI",4
"R_2t2Ol2Kq6x1HaVo",3
"R_xf6krTaSHcECfaF",3
"R_ULwVGxWsgyKT8T7",3
"R_2bJYx7HIghSpcTZ",4
"R_1gMzkwPFqvgLs7H",4
"R_3Em7zkSwCwfM1sw",9
"R_22Q6q5p2jo0MvWs",3
"R_4PjjWUP5nJ69nhL",3
"R_25GXomDNmOeQ5mW",3
"R_3O2NkCoDKRXE4nM",3
"R_Uz5nIKNsEVVOkKd",4
"R_3gRgNoVaQOZalpx",2
"R_1porg5xViqdBH3L",1
"R_2Bafrkjzm5RHJFQ",3
"R_ByqOkdMO22smd7H",2
"R_UMd6b5p2ZdfNmRH",7
"R_2DOHny7XBOUTz0F",4
"R_UWry4KLwjXqlN5f",3
"R_1Qg7InMRsJ5l84Y",4
"R_2wH9GeAtREdcWid",3
"R_3iQnUaaNDCRSAgq",9
"R_33ealWiuSsXFzO6",3
"R_12bgvuwAFCtNXZo",3
"R_1Kw0WAwUq1u8lvT",6
"R_cOzrsO0DABrlEfT",5
"R_2SdHVE41DAyqqRz",5
"R_1mtm5QXlAEwtLB6",3
"R_2QXOaOvlg2IuL6g",7
"R_1qhceWFKcBC4ZOY",4
"R_33rPepmAvw5d58n",2
"R_3Jr5a63frgUMkYD",2
"R_3NyP1yCIHotebqi",7
"R_1MQmofpmaXIbrQe",5
"R_332rEqSUNpgeE1s",2
"R_3GkuhewK17SFngU",2
"R_1jev0enOUSS2Y1T",3
"R_2y9oEzQGfp67Q8X",4
"R_3PNNOq5vxPBJrLx",5
"R_3gS1U7oGV05bTJ3",2
"R_6EYfg9PLNyUAZDr",4
"R_32VBjG3UNPdiHDG",4
"R_2CV4HS6VDU25hXT",4
"R_2f1zfy8Pg4DoPBn",6
"R_x3e4nxnzetpJezD",4
"R_2chfUUR8RiZTLBq",3
"R_1OZTnsudSjxYnPk",3
"R_1NaeV8T3u5uLxIy",2
"R_2ZCUJFQrO9WQSw1",2
"R_1LNWcvIIvcy2TIV",4
"R_28YvU5w7h09BNgN",6
"R_1gpbnuPz8DRxBpV",2
"R_2zTib9CpFVtLgnq",5
"R_1QrqQ2uPpDTK3Bj",2
"R_1OjCFAnugrIpgOh",9
"R_1Oq5NSkwcGgE9t9",3
"R_74hqaqfwxoIGjyF",2
"R_3MfLlx6Xb2KmanQ",3
"R_6PyT5ZyMZkpTMt3",8
"R_1gw1MWzEwqY4e0H",3
"R_28CIKLHalrayXyH",6
"R_3MuK4KvYj7EP9ps",3
"R_3ixsLJ6sjtRAoZA",4
"R_27295IePWJgviNc",9
"R_wLUMwC3vnQhrwRj",9
"R_2viU3hC6sMVpXMc",3
"R_aauwU5huKxcj2bD",4
"R_1LFnw0Hi1WyetMw",9
"R_3rZKsrhpaJipFtv",3
"R_3374ZmZaFAe3SD2",9
"R_3ejTuopJEHD4Ppn",2
"R_3P7WgdG2bp44Li4",4
"R_3psRSM3J0Wm8t9k",5
"R_3F58aluresiHdWP",4
"R_A5Jx7wmuKlJshyh",2
"R_z7pwlDxNwAji56V",4
"R_3JJIzj24DqgUzbw",5
"R_3QGDUYyiEJbza5H",4
"R_2TZbdOcBrX2ogZa",4
"R_1j7jiIv8mpd74Sr",2
"R_r7nMHoo2HFvyqLn",6
"R_068M0pjC6pLxnrP",4
"R_3CTURJqDojS7q22",4
"R_216AgN7aJ1DPJWj",3
"R_3iPuzFmTezJgk4V",2
"R_1JFmPR5npWyzCUI",5
"R_22qRqLzMSLJrpBA",4
"R_1MQYGHWikAMm9Bb",3
"R_2xWeCYlYGWFmY12",3
"R_2SeI42e5EMiUfsF",2
"R_3MmoIf4WSNdQStj",6
"R_25sci4nQTzswhxD",3
"R_3m90RWYSBsWfxMX",6
"R_pQ51hHsRueJ7kOt",7
"R_p3Gd618o5Fvw1KF",4
"R_1hG4MHT8CcIMNXa",4
"R_1JXwnaWnYNBGj9H",4
"R_1eJJ37SerK6rAIA",8
"R_1Olf2vEAbinuohR",3
"R_29nVQHDslDPFgEM",5
"R_3HHL1rJYxRWOdRh",2
"R_3harGWap6BljVmN",5
"R_1Edi3DoieLhKxHp",3
"R_3phuEIsrxG4Clmo",2
"R_2wuHFkzIIUtyTrO",6
"R_TdXyPoLBky38zYt",2
"R_1eCzK6RISI49WDm",2
"R_eeQJ18S9BvsCsuZ",9
"R_1jvojew7nZTZPNH",2
"R_2EFX5izTNWaZ5K9",7
"R_12Pk9CKhp3Zjpwf",2
"R_12gvvxCJlrNkBG2",4
"R_3LgLBpFI09AWO8C",2
"R_w6llo8ak6isdY3v",3
"R_3KooJqreCaIuclH",6
"R_6yrCn1PnBoIlaXn",5
"R_27vNvpYoAPtIeBX",3
"R_1jVA7952fg5RPVZ",2
"R_CdV7zlt3FjzpcL7",6
"R_3lJmX2TYy4Q82LU",4
"R_1hETC0rWIuiGRhb",7
"R_3JegHShciiFKZ7w",6
"R_231eXErCBFZ6nYv",4
"R_bEDNTyngh3r7Bip",3
"R_3Ph6xxgQAB6tVgL",6
"R_3nAu6lB99wd2m8J",4
"R_31yhSoSGRiAD4DF",7
"R_12fmMYBH57NLKzW",3
"R_rrSibgLDAOnbuY9",2
"R_1jND1By9Mi4rjk8",9
"R_1jQdMWSrrnR270M",4
"R_Pz9tGrZIQrIKC3v",4
"R_27f0UcAnR2isfTH",3
"R_1JDU29EhlyVB2iZ",3
"R_3FIgHk2m1gfKT3a",4
"R_1CIyYB67NJfZ4zO",2
"R_268VLNpTjcJA3BU",2
"R_2YrC3rqGHVw0w7q",6
"R_RxGyBDopxfZaGCB",4
"R_1DN1dYrnZyWa0F5",4
"R_26a9N5c0fmhqFMT",3
"R_129KH4Akk1uQYXe",6
"R_1MLmkYWwXbt353v",4
"R_1g8spMjlSySvT61",7
"R_116Mm1EiH1tIFYI",4
"R_3KrOK4ekkEdw1Fq",4
"R_27JxqBgfBFuiiZf",9
"R_wMo9CepbUBp788p",4
"R_02PKl3Q8YQg9vDX",5
"R_26hkH6Qwgb346Tc",4
"R_bxcVKkEZinvKhPz",4
"R_11ZmcpABH3M06it",2
"R_elF2I9IxHGMuYmd",7
"R_2S8CkEiNnOdiZuh",4
"R_2BzmhUCh5VwNpnF",3
"R_6y9hM6YRWSw3isF",2
"R_4IUTYwYEKwP6NBD",2
"R_3Jq2Jgt9PRv1rTy",9
"R_30db2ywGohxn577",4
"R_2y3EnxIebAJ8Zwe",6
"R_21oH0dtnzQxXrxn",4
"R_z8bVHGiHmaNvGsp",4
"R_YWfYvqaPmGsIPHb",9
"R_3KVcSWYyAZJUYFa",4
"R_27dl2TC0T3pP2kE",3
"R_3iWps4T08Df7DeR",7
"R_1dc2S8iQcb1kWCj",2
"R_5pDMolN07aJqURH",9
"R_djzdWK128TmH2db",2
"R_tQIAJ3nlQWX3cOZ",3
"R_TuBXZeSfG9BayJj",4
"R_1gGYvUaFo8EwCFk",3
"R_27VDaPwiNiKQM5h",6
"R_2ts2dUPpRRv7QVQ",8
"R_30dj0oRq9VKaC13",3
"R_2E0K4nM4jNzvufY",6
"R_3EyYhRIghBqY3Ia",3
"R_2P1eL8mtcyvahLk",4
"R_3MoHljt24Tg5dOF",6
"R_ub1tTrAi3IsCDRv",8
"R_30f8pw11d2Loi7p",2
"R_VQjHQLkSjCW9oM9",2
"R_BJ56vWKQaRhGiTD",3
"R_1plCdHUd5wHnqNE",5
"R_s6eMTLGXIjgMj61",6
"R_2sSiXO8KSYGm7EE",4
"R_2rMTQVMAEKgk0pt",6
"R_20SZg6ew5A9FP2x",3
"R_12tmY8N2PKUubCl",3
"R_3nIvu0ORn9VKC9V",9
"R_2rBcslpOwQ2Zj8y",4
"R_3kjts2FgDqF0cAl",2
"R_2azVyvh53gylEJi",3
"R_1jJLJjMfPY7qHww",2
"R_Td5Susaw3Cvfcjv",5
"R_3jea6eVhRXttc9S",4
"R_2f1fpryu9Ev6Kbf",3
"R_1n0xFy4lkt9QIAV",5
"R_3Rqn5wyAKZ9xZeA",3
"R_12eTIWKlxKkvQcK",8
"R_3q7PTPZWCkqmK5U",4
"R_3PLWfy8BAclvz2p",5
"R_1cYxsUXPHGUFh5G",4
"R_2wHtIpIBfyTkoLN",6
"R_2dQLyJKyw3BsuiF",3
"R_3gS3hG5WrSeBWZQ",4
"R_12JhBBgsRcp6tlG",5
"R_s7hDanMTnzIT4uB",3
"R_24CyANA1YcpNSz7",9
"R_1MqvAStgpIepUvD",6
"R_41nqTT69ejjjbFf",3
"R_2CqqZeG1jQSxJwL",3
"R_1kS2ikCV9T2OhyK",2
"R_2OVAQvuC5zHZXj9",5
"R_3PiayR2vQLjQmFs",2
"R_YSy04Ufmvr0kGsN",9
"R_DqHKfztQL6ysGmB",5
"R_3L57lgazltwlWOC",6
"R_2V282TpCWM50Hal",6
