"cps19_ResponseId","cps19_education","cps19_bornin_canada","education"
"R_2YArCky0wxjsLDz",11,1,"Postgrad"
"R_1eqsvQYbC4GNu1X",10,1,"Postgrad"
"R_27e4OU9EaMODIbP",10,2,"Postgrad"
"R_0Ihm2PA0FmE5LjP",7,1,"College/Trades"
"R_1DHZv7u7shBLWkl",8,2,"Bachelors"
"R_3k0XGXU4yIg7TJo",10,1,"Postgrad"
"R_1Ok0KmgS9r1ne0p",7,2,"College/Trades"
"R_wL6RkSyVjuNKfVT",7,1,"College/Trades"
"R_1K2Z8KGbp1fmVFW",5,1,"High school"
"R_1NmlE1jFx6RVIBW",9,1,"Bachelors"
"R_33gvgYCjwl6J5GD",4,1,"No degree/ diploma"
"R_2aVxE7ZLoQIfkOU",4,1,"No degree/ diploma"
"R_cRVOyXzr6eavJUR",10,2,"Postgrad"
"R_WlEDJBS7v82Q3HH",9,1,"Bachelors"
"R_2TF48XAO0EVuGOd",6,1,"College/Trades"
"R_3McklvTcasA7yN3",11,1,"Postgrad"
"R_W2TYH2Hul9PD7BT",9,2,"Bachelors"
"R_26mX2zgMSeJ6xgw",8,1,"Bachelors"
"R_2EH2q9tCUKohLnc",12,1,NA
"R_3jUM5oIRKSjOy5l",8,2,"Bachelors"
"R_1FzIInax20OUP0A",5,1,"High school"
"R_2Pb6eqBCY7Yxlhm",9,1,"Bachelors"
"R_1NDkzGnBuTAhfX3",5,1,"High school"
"R_2EbCanVDQ70GD5c",11,1,"Postgrad"
"R_2vkVOM1UlceC92T",5,1,"High school"
"R_3OjrGtZnJ3X1VXq",7,1,"College/Trades"
"R_25EJqJcFDHVtUpQ",6,1,"College/Trades"
"R_bfiFI3DeSxh6pMt",9,1,"Bachelors"
"R_3fpKpxwZePSyXjZ",9,1,"Bachelors"
"R_3OkL9l7BcgQgdLD",5,1,"High school"
"R_5dqj9AGDasOubap",10,2,"Postgrad"
"R_pEsAKhc10qqPUlz",9,2,"Bachelors"
"R_3MzICHejpHRvkiK",9,1,"Bachelors"
"R_3IQcbpgsK9t6tXT",9,1,"Bachelors"
"R_1o4H1fubSe7FlNW",5,1,"High school"
"R_1dzT4ZdNKmTUYHe",9,1,"Bachelors"
"R_2V3zi3XOYyREMwN",6,1,"College/Trades"
"R_1lucHmscj47bIEb",9,1,"Bachelors"
"R_1mWA5VJSMVBcpJ4",9,1,"Bachelors"
"R_3gZWpB6WxlOUWsA",6,1,"College/Trades"
"R_qI0m78Q3aHVjydr",7,1,"College/Trades"
"R_1eFWvRT4hNbVVV1",7,2,"College/Trades"
"R_2SqMRPLb1dCHXbu",9,1,"Bachelors"
"R_3m9TKoStJr490rY",7,1,"College/Trades"
"R_wOkztv6sfJLKiel",7,1,"College/Trades"
"R_25ZRYHACGxnqmoM",9,1,"Bachelors"
"R_a5iYPxJH6fcZexP",5,1,"High school"
"R_30qv36aXWZuK9M6",7,1,"College/Trades"
"R_2uEcYSjXuKiUR45",6,1,"College/Trades"
"R_3j0Vve5aDo2cwSz",5,1,"High school"
"R_1pGrRLdCemt2W8F",5,2,"High school"
"R_DHxzOhtZQFsOuOZ",11,1,"Postgrad"
"R_x6qMwhSZclNIdaN",3,1,"No degree/ diploma"
"R_1pRuOG0YodOvLGh",5,1,"High school"
"R_3e9Xu4Bc6CkscZW",9,1,"Bachelors"
"R_3FOSYv5VL5lSWem",7,1,"College/Trades"
"R_3q9cftXspJzpmT1",10,2,"Postgrad"
"R_1i20Bt1Kx0EO8bI",10,1,"Postgrad"
"R_3rVzOmEyhSMedS9",9,2,"Bachelors"
"R_1oFmwjTk4VJVifX",10,1,"Postgrad"
"R_1eF2YTHbtkpiN4q",6,1,"College/Trades"
"R_3DkyeSlBH2rCKiT",11,2,"Postgrad"
"R_DqoBw7ZmMHWgHoB",9,1,"Bachelors"
"R_03uKnRBtdA1L6yR",9,1,"Bachelors"
"R_1dagV1XDUQPaxsb",7,1,"College/Trades"
"R_xg9y7vveJfOhHrP",9,1,"Bachelors"
"R_6PQUIsQaUsOUJZ7",9,1,"Bachelors"
"R_3FbxNxmMSArZfP3",9,1,"Bachelors"
"R_3r0cFwbcvyfP6kc",9,1,"Bachelors"
"R_3M6k28KkMbiz5PW",5,1,"High school"
"R_RF7tBoAipIydk2t",4,1,"No degree/ diploma"
"R_1HoCBsrbXZhUAvR",10,1,"Postgrad"
"R_23dSuZrdSAvnvUV",9,1,"Bachelors"
"R_Umf4hPm7lV3ydH3",5,1,"High school"
"R_YWCbuTSQdmmcGKl",10,2,"Postgrad"
"R_31HsUEjWfv8WU29",10,1,"Postgrad"
"R_2wvRaMrE7y5viXU",8,1,"Bachelors"
"R_10vzNdaTVkbEaxL",5,1,"High school"
"R_1dnUyqUZjOYJq6I",9,1,"Bachelors"
"R_88plKzIEYDxrgIx",9,1,"Bachelors"
"R_1nTtOMAGKMVtbLS",7,1,"College/Trades"
"R_1GBOGHoURot4LaL",7,1,"College/Trades"
"R_DSR32EAlGV2To2Z",8,1,"Bachelors"
"R_2Qzk1LAwPa9z0D7",5,1,"High school"
"R_3HtPOiT32eHYiA6",9,1,"Bachelors"
"R_3prqB926VGiKpLQ",7,2,"College/Trades"
"R_8iCyNhsacB033NL",7,1,"College/Trades"
"R_yKMtKdEEbsNubIJ",5,1,"High school"
"R_1ogPKkU0YGCTNLZ",9,1,"Bachelors"
"R_3HOBUzh5RjbIJlo",6,1,"College/Trades"
"R_1f1tNUEAzeZahBh",5,1,"High school"
"R_32X6WN1tXyjwJED",9,1,"Bachelors"
"R_siDszMVl4nP4M3T",6,1,"College/Trades"
"R_2QhWE6XAuMba4Bv",5,1,"High school"
"R_3etojmHbLJ9iG2o",7,1,"College/Trades"
"R_3ehoXYXAQqWJs0O",10,1,"Postgrad"
"R_1eQ9yw4VZiaqbmc",5,1,"High school"
"R_3lspCSHxbzz3BSY",11,2,"Postgrad"
"R_2THGD3oG1TNYIla",5,1,"High school"
"R_2475Kwb2I2OgUSc",9,1,"Bachelors"
"R_3GvNdl07lXSgVNI",10,1,"Postgrad"
"R_1LdFz3q5ZYyWlAn",8,2,"Bachelors"
"R_AcjFHnPZFBL2kNP",4,1,"No degree/ diploma"
"R_2PcY3Plnzfpncpj",11,1,"Postgrad"
"R_129oQHILKVNjv14",10,2,"Postgrad"
"R_3HNC232ig0O4zRn",5,1,"High school"
"R_1dcTstX450VSSmc",9,1,"Bachelors"
"R_p4dXxww3UYzWSK5",8,1,"Bachelors"
"R_3PppRCIrbDi29SI",9,1,"Bachelors"
"R_2PA51ZGMki98OK1",9,2,"Bachelors"
"R_WwicbiS1rWlGbSx",6,1,"College/Trades"
"R_2Qg0ssCRIqt8DQ9",9,1,"Bachelors"
"R_1pGzaPFO5X0lju3",3,1,"No degree/ diploma"
"R_Q6MdNP6ci3SeMDv",9,1,"Bachelors"
"R_ZsHdiqtYgXoW9kl",6,1,"College/Trades"
"R_3DvZ2sBpbl11Vvw",5,1,"High school"
"R_6qZbnjlq9YM576V",9,1,"Bachelors"
"R_SCbTtgzZs19jCqB",7,1,"College/Trades"
"R_sdiJ6GRAE4RO6Jz",10,1,"Postgrad"
"R_27j7BkAW5rcEqw1",10,1,"Postgrad"
"R_1Oq0q7YNnYH4kZY",9,1,"Bachelors"
"R_6ujIPYl2lN6tB0R",7,1,"College/Trades"
"R_3ISJBSAShskucqu",7,1,"College/Trades"
"R_pzmwHJ3YolqyBR7",7,1,"College/Trades"
"R_3Pq8ZhBgJTFG3jP",7,2,"College/Trades"
"R_1IAA4cpZzyFdeXh",6,1,"College/Trades"
"R_1gBFBoew44yWD5O",9,1,"Bachelors"
"R_22PV5LctDRvXsfa",9,1,"Bachelors"
"R_25uA1z522izNgD8",6,1,"College/Trades"
"R_3rNF7hjVHlhwcvn",6,2,"College/Trades"
"R_32KKcGjV57DCNyD",6,2,"College/Trades"
"R_2abmDMt5EArm15T",6,1,"College/Trades"
"R_1QoJY7eNGjUfqnh",5,1,"High school"
"R_4IXP7DR7WghEwBr",7,1,"College/Trades"
"R_3RaxWV5Sv7EBGck",9,1,"Bachelors"
"R_3gL46e90ZGiLVaK",9,1,"Bachelors"
"R_2zSiZTewdnjD9Kj",7,1,"College/Trades"
"R_1jwcaOI75WayZiW",4,1,"No degree/ diploma"
"R_2B50gOeWEe8lccw",8,1,"Bachelors"
"R_efHfjn1Yu6p5Yyd",8,1,"Bachelors"
"R_2zCOda1QfjjD3Bn",8,1,"Bachelors"
"R_9og1IvtJl1V3lgl",9,1,"Bachelors"
"R_2s4uYqqvYJ3Ufzg",9,1,"Bachelors"
"R_3kNQLs1CmqJ7270",10,2,"Postgrad"
"R_1jPmUocsvODHSYl",6,1,"College/Trades"
"R_1jdjogeA60RJAI2",9,1,"Bachelors"
"R_BEAVV783rYHub2V",6,1,"College/Trades"
"R_32W1YVMFO2VcmQS",5,1,"High school"
"R_Zfp4UaYvqPGpZwR",9,1,"Bachelors"
"R_2Sc81E34iMB8t6h",11,1,"Postgrad"
"R_3EWrrsUEEwPhHjU",6,1,"College/Trades"
"R_2b2UBKwvnTGareq",7,1,"College/Trades"
"R_xgSawirnnr9s0wh",7,1,"College/Trades"
"R_bxbgY81qD7VZUJj",9,2,"Bachelors"
"R_3MmPgIiFuXyh4Dq",11,2,"Postgrad"
"R_2wGNhZGg6H30BUK",7,1,"College/Trades"
"R_1pmoOIKKfTzfvXa",9,1,"Bachelors"
"R_2TKLkC7wEijVqZP",9,1,"Bachelors"
"R_3GfUXFpWTGH9VXN",6,2,"College/Trades"
"R_p61hOUPGx3xMSxr",9,1,"Bachelors"
"R_4GxafKMoRWvb8zL",9,1,"Bachelors"
"R_1rqrRHtsJ9FfVfC",9,1,"Bachelors"
"R_1FPKPeoc8upEB56",4,1,"No degree/ diploma"
"R_3m1ZQTO5aB7NL3T",7,1,"College/Trades"
"R_2qEFk2n4Mlv1GGY",7,1,"College/Trades"
"R_2aXYTmZnxlndF6o",9,1,"Bachelors"
"R_cIRgsMyKXN9K5Dr",7,2,"College/Trades"
"R_W660MUHAU1z8tS9",9,1,"Bachelors"
"R_1eQWSgudNTRjn7d",8,2,"Bachelors"
"R_XpjXX8Sv9NM5uXD",5,1,"High school"
"R_27pX4TbKdtCA8zV",6,1,"College/Trades"
"R_2rkGW7gepqo2jRx",9,1,"Bachelors"
"R_2ZOIXJNpZN8IO1u",10,1,"Postgrad"
"R_XAGiODQKCnfV6uZ",11,1,"Postgrad"
"R_1n1Tm7Jb19pkZUY",5,2,"High school"
"R_1DVbP27gmfTmkzd",7,1,"College/Trades"
"R_xsdp1KIFkEk86bv",7,1,"College/Trades"
"R_2Y9bryBwr76EUGP",5,1,"High school"
"R_3ESS7IF4j6QlNnU",7,1,"College/Trades"
"R_voCg53AHlpFDdC1",7,1,"College/Trades"
"R_3O8ooMrKSlKmBNE",6,1,"College/Trades"
"R_2xPCGXhB1flNz8Y",10,1,"Postgrad"
"R_DwPARhElVBSQ7CN",10,1,"Postgrad"
"R_22tRA3Z1wJmx09z",9,2,"Bachelors"
"R_ptvxrbN7fQJrdqF",6,1,"College/Trades"
"R_6hwE8TsPGe5DvHz",8,1,"Bachelors"
"R_1gbXsomNmdwwaDI",9,2,"Bachelors"
"R_1Q3lZMNgJZgsPws",5,1,"High school"
"R_eQmls1CX8xJiUg1",7,1,"College/Trades"
"R_21dOatnEG6at8fC",9,1,"Bachelors"
"R_2AM8MXZ7mzLYTIj",7,1,"College/Trades"
"R_2EgBmNRrKwsloXi",7,2,"College/Trades"
"R_e9Z935oonMdUlSF",8,1,"Bachelors"
"R_NWQklNzqjeRw28p",7,1,"College/Trades"
"R_1hyWWmzolSQJr9j",8,1,"Bachelors"
"R_3IYOl7HzM73hhoc",7,1,"College/Trades"
"R_3QXFi6DCdfjQOuO",6,1,"College/Trades"
"R_3CDY4gDmFOQeTGB",7,1,"College/Trades"
"R_2rMxXeAVObNMhkc",4,1,"No degree/ diploma"
"R_2zAxUtxNimG6U8P",7,1,"College/Trades"
"R_w0gH1c3nlr1DQKR",7,1,"College/Trades"
"R_WvAsBAq1CKO4MP7",10,1,"Postgrad"
"R_2EGnr9wNzrkyn6S",7,1,"College/Trades"
"R_UQJqj9sPbudXx9T",5,1,"High school"
"R_22LDpd0ufKwUt72",9,2,"Bachelors"
"R_27CHmENx2OnOtUv",10,1,"Postgrad"
"R_3KW6ff71Z77mbFX",7,2,"College/Trades"
"R_2dnACoohrLDqrzv",9,2,"Bachelors"
"R_2pQOIoi1Q72GgYE",5,1,"High school"
"R_eagwrUYZmoYjjwJ",4,1,"No degree/ diploma"
"R_1F3WRrxBlkHsC3n",8,2,"Bachelors"
"R_6D0o0mtsSYsE8fv",6,1,"College/Trades"
"R_1jfB9QGQ6VQ9Gal",7,1,"College/Trades"
"R_3gZXIxuLvc8x3tT",10,1,"Postgrad"
"R_8dgkg3BELHFf97j",10,1,"Postgrad"
"R_2ccNmCqb9mMjD1u",9,1,"Bachelors"
"R_31SeF0u0pSqPGv9",6,1,"College/Trades"
"R_3EyZpQfWHWDNeEN",9,1,"Bachelors"
"R_8e6Q8Ld5k3MiOBj",8,1,"Bachelors"
"R_aWwXehbRJURuVXj",6,1,"College/Trades"
"R_2zj8cBR2SvfK75w",10,2,"Postgrad"
"R_tQisdxAZ9pjREeR",8,1,"Bachelors"
"R_3ps9UcX2gPxUbV2",5,1,"High school"
"R_1kXDi6VQuaJayPW",7,1,"College/Trades"
"R_2ZVSp83mLt9VDkt",9,1,"Bachelors"
"R_1LSvwUD4vDxNtB2",6,1,"College/Trades"
"R_3M6w4JnD2o6jZY3",5,1,"High school"
"R_BEfD4454WKolhHr",5,1,"High school"
"R_3qQnpmpai8IjJ4t",11,1,"Postgrad"
"R_2AYlwO3keBiRWW4",6,1,"College/Trades"
"R_7WB5qmdKcIdqN0t",9,1,"Bachelors"
"R_potjJp7X6q7UVRT",9,1,"Bachelors"
"R_31NOS9qVRzvPGeg",5,2,"High school"
"R_1DBTwecLjDCyqn9",10,2,"Postgrad"
"R_20NewS6kMoO6KaY",9,1,"Bachelors"
